t_s,roll,pitch,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual,mt_0,enc_0,vel_0,iq_sp_0,iq_0,mt_1,enc_1,vel_1,iq_sp_1,iq_1,mt_2,enc_2,vel_2,iq_sp_2,iq_2,mt_3,enc_3,vel_3,iq_sp_3,iq_3,mt_4,enc_4,vel_4,iq_sp_4,iq_4,mt_5,enc_5,vel_5,iq_sp_5,iq_5
0.0000,-0.86287,-0.36633,-0.86287,-0.36633,-0.86403,-0.35970,-0.76167,1.81255,0.10236,2.17225,0.10236,2.17225,0.00000,0.00000,0,0.00033,-0.20782,-0.16871,-0.01888,4.68367,4.60628,-0.15652,-0.17241,0.01120,-0.74625,-0.72176,-0.09812,-0.11105,0.00394,-0.42764,-0.36453,-0.27953,-0.29563,0.00063,0.96164,1.02486,-0.08442,-0.08908,-0.00443,2.13992,2.02193,-0.22782,-0.10683,0.00317,5.95684,6.02475
0.1011,-0.85167,-0.38448,-0.85167,-0.38448,-0.85654,-0.37654,-0.73587,1.82364,0.12067,2.20018,0.12067,2.20018,0.00000,0.00000,0,0.00029,-0.20936,-0.17023,-0.00877,4.79337,4.80154,-0.15578,-0.17086,0.01034,-0.72887,-0.59572,-0.09720,-0.11075,0.00536,-0.48419,-0.47438,-0.27873,-0.29559,-0.00306,0.89097,0.91602,-0.08383,-0.08906,0.00260,2.08306,2.06592,-0.22936,-0.10684,-0.00444,5.96427,5.93333
0.2026,-0.84517,-0.40173,-0.84517,-0.40173,-0.84833,-0.39237,-0.71034,1.83521,0.13799,2.22758,0.13799,2.22758,0.00000,0.00000,0,0.00071,-0.21085,-0.17171,-0.01096,4.84317,5.10288,-0.15508,-0.16885,0.04261,-0.58746,-0.72086,-0.09632,-0.11057,0.00342,-0.55748,-0.51530,-0.27794,-0.29554,0.00190,0.82296,0.77633,-0.08323,-0.08905,-0.00156,2.03049,1.99980,-0.23084,-0.10682,0.00624,5.96510,5.98249
0.3043,-0.83917,-0.50078,-0.83917,-0.50078,-0.84485,-0.45347,-0.68495,1.84778,0.15990,2.30125,0.15990,2.30125,0.00000,0.00000,0,0.00154,-0.21438,-0.17348,-0.01329,5.05297,5.06983,-0.15434,-0.15647,0.00035,-0.02271,0.14464,-0.09509,-0.11012,0.00474,-0.63607,-0.57924,-0.27534,-0.29544,0.01724,0.64514,0.60103,-0.08100,-0.08901,0.00110,1.89789,1.92248,-0.23419,-0.10684,-0.00498,5.96897,5.96574
0.4042,-0.84310,-0.52065,-0.84310,-0.52065,-0.83922,-0.50597,-0.65980,1.86248,0.17942,2.36845,0.17942,2.36845,0.00000,0.00000,0,0.00032,-0.21759,-0.17601,-0.03075,5.13344,5.35845,-0.15368,-0.15335,0.02608,0.26428,0.21862,-0.09398,-0.10968,0.00932,-0.66423,-0.75184,-0.27295,-0.29517,0.01065,0.45658,0.46381,-0.07894,-0.08893,0.00699,1.73571,1.63910,-0.23723,-0.10684,-0.00439,5.92961,5.94334
0.5057,-0.82017,-0.56301,-0.82017,-0.56301,-0.82503,-0.54821,-0.63487,1.87846,0.19015,2.42667,0.19015,2.42667,0.00000,0.00000,0,0.00028,-0.22025,-0.17785,-0.01282,5.29760,5.30380,-0.15340,-0.15106,-0.00410,0.29175,0.19536,-0.09330,-0.10941,0.00675,-0.73435,-0.67092,-0.27077,-0.29501,0.00071,0.25250,0.26354,-0.07700,-0.08891,0.00493,1.61094,1.59619,-0.23970,-0.10683,-0.00111,5.94989,6.00861
0.6079,-0.81267,-0.57310,-0.81267,-0.57310,-0.81653,-0.56657,-0.61026,1.89526,0.20627,2.46183,0.20627,2.46183,0.00000,0.00000,0,0.00032,-0.22205,-0.17951,-0.02163,5.36439,5.43052,-0.15279,-0.15092,0.00253,0.24822,0.25274,-0.09246,-0.10911,0.00247,-0.81902,-0.74003,-0.26963,-0.29487,0.00802,0.17206,0.29616,-0.07608,-0.08890,-0.00308,1.53251,1.43335,-0.24145,-0.10683,0.00392,5.97419,5.96878
0.7089,-0.81024,-0.58107,-0.81024,-0.58107,-0.81238,-0.57756,-0.58584,1.91246,0.22654,2.49002,0.22654,2.49002,0.00000,0.00000,0,0.00027,-0.22364,-0.18157,-0.02066,5.40177,5.46302,-0.15195,-0.15075,-0.00226,0.22523,0.24360,-0.09145,-0.10869,0.00175,-0.86877,-0.90067,-0.26887,-0.29473,0.00441,0.11797,0.14170,-0.07554,-0.08885,0.00939,1.51285,1.47337,-0.24304,-0.10683,0.00048,5.96556,6.00732
0.8102,-0.81232,-0.59395,-0.81232,-0.59395,-0.81266,-0.58813,-0.56147,1.92998,0.25120,2.51811,0.25120,2.51811,0.00000,0.00000,0,0.00032,-0.22531,-0.18418,-0.03154,5.39088,5.29021,-0.15091,-0.15059,0.00301,0.17120,0.10971,-0.09025,-0.10825,0.00582,-0.93220,-0.94158,-0.26819,-0.29462,0.00472,0.03979,0.02483,-0.07511,-0.08883,0.00350,1.46414,1.45453,-0.24474,-0.10684,-0.00233,5.96168,5.87733
0.9117,-0.79651,-0.61358,-0.79651,-0.61358,-0.80546,-0.60403,-0.53717,1.94789,0.26829,2.55192,0.26829,2.55192,0.00000,0.00000,0,0.00027,-0.22707,-0.18836,-0.05062,5.24816,5.22179,-0.15024,-0.15038,0.00225,0.15750,0.24785,-0.08936,-0.10768,0.00397,-1.00965,-0.98714,-0.26713,-0.29448,0.00258,-0.09839,-0.08102,-0.07426,-0.08881,0.00684,1.37282,1.33061,-0.24646,-0.10684,-0.00183,5.95039,5.86959
1.0134,-0.77780,-0.63431,-0.77780,-0.63431,-0.78616,-0.62530,-0.51333,1.96640,0.27283,2.59170,0.27283,2.59170,0.00000,0.00000,0,0.00040,-0.22883,-0.19302,-0.02589,5.19776,5.12520,-0.15018,-0.15024,0.00395,0.16303,0.29807,-0.08903,-0.10725,0.00357,-1.01796,-1.09966,-0.26559,-0.29434,0.00185,-0.24296,-0.31370,-0.07286,-0.08877,-0.00138,1.20782,1.23627,-0.24808,-0.10684,-0.00321,5.96901,5.97235
1.1142,-0.76595,-0.65789,-0.76595,-0.65789,-0.77043,-0.64731,-0.49007,1.98555,0.28036,2.63286,0.28036,2.63286,0.00000,0.00000,0,0.00027,-0.23071,-0.19561,-0.01704,5.23192,5.34627,-0.14998,-0.15019,0.00387,0.18485,0.20210,-0.08855,-0.10697,0.00049,-1.04837,-1.09206,-0.26404,-0.29409,0.00287,-0.34933,-0.34296,-0.07149,-0.08871,0.00353,1.14709,1.12897,-0.24982,-0.10686,-0.00998,5.92757,5.90349
1.2148,-0.75764,-0.66730,-0.75764,-0.66730,-0.76212,-0.66274,-0.46711,2.00528,0.29502,2.66802,0.29502,2.66802,0.00000,0.00000,0,0.00028,-0.23248,-0.19714,-0.00544,5.33700,5.34689,-0.14943,-0.15015,-0.00767,0.07162,0.16553,-0.08778,-0.10645,0.00316,-1.11065,-1.08087,-0.26288,-0.29386,0.00236,-0.44397,-0.52664,-0.07053,-0.08868,0.00324,1.04651,0.93597,-0.25153,-0.10680,0.01386,5.99400,5.87604
1.3166,-0.75240,-0.67969,-0.75240,-0.67969,-0.75471,-0.67458,-0.44439,2.02538,0.31032,2.69996,0.31032,2.69996,0.00000,0.00000,0,0.00031,-0.23413,-0.19821,-0.00924,5.42688,5.34417,-0.14884,-0.14997,0.00199,0.11529,0.11793,-0.08698,-0.10593,0.01418,-1.14303,-1.30430,-0.26187,-0.29370,-0.00251,-0.56909,-0.55060,-0.06971,-0.08863,0.00520,0.93992,1.10135,-0.25313,-0.10683,0.00102,5.97035,5.90932
1.4172,-0.74256,-0.69184,-0.74256,-0.69184,-0.74706,-0.68613,-0.42188,2.04582,0.32518,2.73194,0.32518,2.73194,0.00000,0.00000,0,0.00028,-0.23578,-0.19924,-0.01047,5.53213,5.58299,-0.14826,-0.14979,0.00216,0.06314,0.18294,-0.08621,-0.10514,0.01394,-1.19193,-1.25243,-0.26084,-0.29342,0.00577,-0.67696,-0.58328,-0.06888,-0.08860,-0.00111,0.89463,0.96640,-0.25472,-0.10682,0.00592,5.96417,6.01298
1.5233,-0.74389,-0.70846,-0.74389,-0.70846,-0.74426,-0.70060,-0.39953,2.06666,0.34473,2.76726,0.34473,2.76726,0.00000,0.00000,0,0.00036,-0.23765,-0.20025,-0.00584,5.67601,5.74717,-0.14748,-0.14963,0.01016,0.03990,-0.02387,-0.08521,-0.10331,0.03922,-1.06435,-0.95270,-0.25977,-0.29318,0.00422,-0.76395,-0.71094,-0.06805,-0.08856,-0.00009,0.78243,0.72711,-0.25656,-0.10684,-0.00134,5.96998,5.82669
1.6233,-0.75485,-0.82232,-0.75485,-0.82232,-0.74725,-0.76877,-0.37719,2.08863,0.37006,2.85739,0.37006,2.85739,0.00000,0.00000,0,0.00044,-0.24195,-0.20155,-0.02023,5.92873,5.74116,-0.14664,-0.14926,0.00309,-0.01090,0.03801,-0.08378,-0.08738,0.19696,0.26884,-0.01964,-0.25656,-0.29284,0.00607,-1.03128,-0.93554,-0.06527,-0.08851,0.00151,0.56406,0.58561,-0.26062,-0.10683,0.00328,5.96237,5.85455
