t_s,roll,pitch,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual
0.0000,-0.14735,-0.43221,-0.14735,-0.43221,-0.04420,-0.12966,0.00027,0.00078,0.04447,0.13044,0.04447,0.13044,0.00000,0.00000,0,0.00140
0.0996,-0.45423,-0.22991,-0.45423,-0.22991,-0.27412,-0.29235,0.00484,0.00945,0.27896,0.30180,0.27896,0.30180,0.00000,0.00000,0,0.00034
0.2004,-0.63913,-0.25891,-0.63913,-0.25891,-0.53820,-0.23730,0.01803,0.01659,0.55623,0.25388,0.55623,0.25388,0.00000,0.00000,0,0.00027
0.3010,-0.65248,-0.42284,-0.65248,-0.42284,-0.62273,-0.36570,0.03599,0.02576,0.65872,0.39146,0.65872,0.39146,0.00000,0.00000,0,0.00030
0.4033,-0.67907,-0.46123,-0.67907,-0.46123,-0.66755,-0.42814,0.05561,0.03802,0.72316,0.46616,0.72316,0.46616,0.00000,0.00000,0,0.00026
0.5051,-0.70498,-0.48338,-0.70498,-0.48338,-0.69091,-0.46749,0.07599,0.05160,0.76689,0.51910,0.76689,0.51910,0.00000,0.00000,0,0.00029
0.6061,-0.74480,-0.63748,-0.74480,-0.63748,-0.73124,-0.57063,0.09741,0.06707,0.82865,0.63769,0.82865,0.63769,0.00000,0.00000,0,0.00028
0.7065,-0.84379,-0.70605,-0.84379,-0.70605,-0.79907,-0.67360,0.12038,0.08624,0.91944,0.75984,0.91944,0.75984,0.00000,0.00000,0,0.00026
0.8082,-0.90670,-0.91708,-0.90670,-0.91708,-0.87862,-0.80631,0.14590,0.10845,1.02452,0.91476,1.02452,0.91476,0.00000,0.00000,0,0.00027
0.9101,-0.94009,-0.99854,-0.94009,-0.99854,-0.94392,-0.95014,0.17378,0.13567,1.11770,1.08581,1.11770,1.08581,0.00000,0.00000,0,0.00107
1.0109,-0.88218,-1.05635,-0.88218,-1.05635,-0.90013,-1.02791,0.20126,0.16568,1.10139,1.19359,1.10139,1.19359,0.00000,0.00000,0,0.00026
1.1136,-0.82895,-1.09218,-0.82895,-1.09218,-0.84354,-1.07618,0.22710,0.19749,1.07064,1.27367,1.07064,1.27367,0.00000,0.00000,0,0.00034
1.2152,-0.80199,-1.10819,-0.80199,-1.10819,-0.81363,-1.09951,0.25183,0.23024,1.06546,1.32975,1.06546,1.32975,0.00000,0.00000,0,0.00028
1.3179,-0.77086,-1.13488,-0.77086,-1.13488,-0.78539,-1.12165,0.27573,0.26360,1.06112,1.38525,1.06112,1.38525,0.00000,0.00000,0,0.00100
1.4182,-0.68846,-1.20045,-0.68846,-1.20045,-0.72638,-1.16963,0.29837,0.29800,1.02476,1.46763,1.02476,1.46763,0.00000,0.00000,0,0.00026
1.5189,-0.57199,-1.27468,-0.57199,-1.27468,-0.61377,-1.24868,0.31803,0.33461,0.93180,1.58328,0.93180,1.58328,0.00000,0.00000,0,0.00035
1.6209,-0.56136,-1.28430,-0.56136,-1.28430,-0.57201,-1.27699,0.33556,0.37265,0.90757,1.64963,0.90757,1.64963,0.00000,0.00000,0,0.00025
1.7232,-0.55592,-1.28901,-0.55592,-1.28901,-0.55849,-1.28633,0.35243,0.41115,0.91092,1.69747,0.91092,1.69747,0.00000,0.00000,0,0.00029
1.8243,-0.55124,-1.29143,-0.55124,-1.29143,-0.55465,-1.28981,0.36913,0.44981,0.92378,1.73962,0.92378,1.73962,0.00000,0.00000,0,0.00025
1.9270,-0.54658,-1.29278,-0.54658,-1.29278,-0.54842,-1.29228,0.38564,0.48855,0.93407,1.78083,0.93407,1.78083,0.00000,0.00000,0,0.00028
2.0276,-0.53893,-1.29500,-0.53893,-1.29500,-0.54269,-1.29351,0.40200,0.52733,0.94469,1.82085,0.94469,1.82085,0.00000,0.00000,0,0.00026
2.1280,-0.53278,-1.29593,-0.53278,-1.29593,-0.53651,-1.29553,0.41818,0.56618,0.95469,1.86171,0.95469,1.86171,0.00000,0.00000,0,0.00027
2.2299,-0.48534,-1.27468,-0.48534,-1.27468,-0.50554,-1.28545,0.43381,0.60495,0.93935,1.89039,0.93935,1.89039,0.00000,0.00000,0,0.00026
2.3339,-0.00219,-1.88123,-0.00219,-1.88123,-0.22817,-1.54588,0.44542,0.64591,0.67359,2.19179,0.67359,2.19179,0.00000,0.00000,0,0.00319
2.4332,0.75478,-2.75141,0.75478,-2.75141,0.41629,-2.40189,0.44147,0.70762,0.02517,3.10951,0.02517,3.10951,0.00000,0.00000,0,0.00039
2.5385,1.73781,-3.41086,1.73781,-3.41086,1.25043,-3.19865,0.41476,0.79565,-0.83567,3.99430,-0.83567,3.99430,0.00000,0.00000,0,0.00037
2.6389,2.58125,-2.73550,2.58125,-2.73550,2.20962,-2.98043,0.36002,0.89027,-1.84959,3.87071,-1.84959,3.87071,0.00000,0.00000,0,0.00039
2.7398,3.10137,-1.16859,3.10137,-1.16859,2.97560,-1.82802,0.27752,0.98192,-2.69808,2.78829,-2.69808,2.80994,0.00000,0.00000,2,0.00028
2.8412,2.81811,-0.12517,2.81811,-0.12517,2.98376,-0.64343,0.18639,1.01526,-2.79738,1.65868,-2.79738,1.65868,0.00000,0.00000,0,0.00033
2.9454,1.72257,0.92998,1.72257,0.92998,2.22668,0.45009,0.10844,1.01860,-2.11824,0.56850,-2.11824,0.56850,0.00000,0.00000,0,0.00034
3.0485,0.89491,1.40397,0.89491,1.40397,1.29709,1.15758,0.05855,0.99134,-1.23854,-0.16624,-1.23854,-0.16624,0.00000,0.00000,0,0.00105
3.1485,0.12595,1.29975,0.12595,1.29975,0.47519,1.32664,0.03456,0.95256,-0.44062,-0.37409,-0.44062,-0.37409,0.00000,0.00000,0,0.00027
3.2500,-0.24073,0.63894,-0.24073,0.63894,-0.03570,0.89588,0.03030,0.92001,0.06600,0.02413,0.06600,0.02413,0.00000,0.00000,0,0.00023
3.3536,-0.39807,0.21633,-0.39807,0.21633,-0.33988,0.37196,0.03797,0.90367,0.37785,0.53171,0.37785,0.53171,0.00000,0.00000,0,0.00031
3.4549,-0.46994,0.00859,-0.46994,0.00859,-0.44497,0.12048,0.05031,0.89717,0.49527,0.77669,0.49527,0.77669,0.00000,0.00000,0,0.00027
3.5602,-0.59347,-0.20565,-0.59347,-0.20565,-0.53917,-0.11567,0.06506,0.89789,0.60423,1.01356,0.60423,1.01356,0.00000,0.00000,0,0.00082
