t_s,roll,pitch,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual,mt_0,enc_0,vel_0,iq_sp_0,iq_0,mt_1,enc_1,vel_1,iq_sp_1,iq_1,mt_2,enc_2,vel_2,iq_sp_2,iq_2,mt_3,enc_3,vel_3,iq_sp_3,iq_3,mt_4,enc_4,vel_4,iq_sp_4,iq_4,mt_5,enc_5,vel_5,iq_sp_5,iq_5
0.0000,0.10759,-3.21719,0.10759,-3.21719,0.10936,-3.21765,-0.32943,1.78235,-0.43878,5.01911,-0.43878,5.00000,0.00000,0.00000,8,0.00029,0.21098,0.20965,-0.00020,0.36571,0.45219,0.33328,0.33517,0.00596,-0.71499,-0.67964,0.41304,0.41467,0.00464,3.31968,3.27996,0.15849,0.16391,0.00626,2.73248,2.79599,0.36120,0.36128,-0.00854,-1.26851,-1.29044,0.20706,0.20705,0.00304,0.25269,0.36270
0.1028,0.11258,-3.21829,0.11258,-3.21829,0.11081,-3.21773,-0.33272,1.78227,-0.44353,5.01955,-0.44353,5.00000,0.00000,0.00000,8,0.00039,0.21107,0.20971,0.00416,0.35195,0.28577,0.33305,0.33515,-0.00537,-0.68534,-0.66210,0.41283,0.41467,-0.00121,3.34797,3.44961,0.15849,0.16366,0.00394,2.76836,2.65511,0.36120,0.36129,-0.00243,-1.24444,-1.20081,0.20718,0.20706,-0.00633,0.25784,0.30285
0.2077,0.11619,-3.21849,0.11619,-3.21849,0.11453,-3.21814,-0.33611,1.78186,-0.45064,5.01946,-0.45064,5.00000,0.00000,0.00000,8,0.00199,0.21122,0.20976,0.00442,0.32265,0.25229,0.33272,0.33515,-0.00545,-0.63597,-0.70219,0.41251,0.41465,-0.00319,3.39639,3.33593,0.15849,0.16341,0.00078,2.80554,2.81097,0.36120,0.36130,-0.00073,-1.26000,-1.32232,0.20736,0.20713,0.00048,0.23501,0.17138
0.3069,0.11357,-3.22358,0.11357,-3.22358,0.11389,-3.22209,-0.33955,1.77791,-0.45343,5.01997,-0.45343,5.00000,0.00000,0.00000,8,0.00028,0.21127,0.20986,0.01097,0.34925,0.19781,0.33259,0.33517,-0.00021,-0.60685,-0.54272,0.41239,0.41465,-0.00100,3.43356,3.57932,0.15849,0.16316,-0.00299,2.83133,2.85762,0.36120,0.36130,-0.00002,-1.26226,-1.31796,0.20743,0.20723,0.00070,0.25936,0.17927
0.4088,0.11244,-3.22222,0.11244,-3.22222,0.11189,-3.22287,-0.34291,1.77713,-0.45481,5.01906,-0.45481,5.00000,0.00000,0.00000,8,0.00027,0.21130,0.20990,0.00214,0.29499,0.30648,0.33252,0.33516,-0.00038,-0.54630,-0.65451,0.41233,0.41465,0.00051,3.46816,3.41774,0.15849,0.16284,-0.00884,2.87336,2.92025,0.36120,0.36131,0.00356,-1.24320,-1.29193,0.20747,0.20731,0.00956,0.26583,0.14208
0.5092,0.11578,-3.22178,0.11578,-3.22178,0.11487,-3.22202,-0.34633,1.77798,-0.46121,5.01923,-0.46121,5.00000,0.00000,0.00000,8,0.00027,0.21143,0.21000,-0.00085,0.28238,0.33544,0.33222,0.33516,-0.00291,-0.49674,-0.41743,0.41205,0.41465,0.00120,3.52336,3.49691,0.15849,0.16245,-0.00912,2.91338,2.97061,0.36120,0.36130,-0.00102,-1.26173,-1.20490,0.20763,0.20733,-0.00503,0.21869,0.32609
0.6097,0.11238,-3.22320,0.11238,-3.22320,0.11416,-3.22252,-0.34977,1.77748,-0.46394,5.01962,-0.46394,5.00000,0.00000,0.00000,8,0.00031,0.21149,0.21008,-0.00279,0.26805,0.16861,0.33209,0.33514,-0.01063,-0.48379,-0.43207,0.41193,0.41463,0.00075,3.58266,3.61055,0.15849,0.16212,-0.00304,2.90915,2.85110,0.36120,0.36130,-0.00206,-1.23375,-1.22390,0.20770,0.20742,0.00069,0.21230,0.21884
0.7100,0.11287,-3.22374,0.11287,-3.22374,0.11240,-3.22393,-0.35316,1.77607,-0.46556,5.01926,-0.46556,5.00000,0.00000,0.00000,8,0.00027,0.21152,0.21012,-0.01216,0.24914,0.26975,0.33202,0.33517,0.00887,-0.41015,-0.48596,0.41186,0.41462,0.00793,3.58246,3.69456,0.15849,0.16177,-0.00167,2.94428,2.76944,0.36120,0.36132,0.01150,-1.21157,-1.25679,0.20774,0.20751,0.00099,0.21040,0.16474
0.8127,0.11210,-3.21959,0.11210,-3.21959,0.11249,-3.22079,-0.35653,1.77921,-0.46902,5.01881,-0.46902,5.00000,0.00000,0.00000,8,0.00204,0.21159,0.21021,-0.00863,0.22517,0.28074,0.33185,0.33514,-0.00478,-0.36032,-0.34606,0.41171,0.41460,-0.00037,3.62789,3.44986,0.15849,0.16139,-0.00047,2.98501,3.07552,0.36120,0.36129,-0.00262,-1.23646,-1.28506,0.20783,0.20757,-0.00432,0.23606,0.15793
0.9135,0.11403,-3.21810,0.11403,-3.21810,0.11295,-3.21900,-0.35992,1.78100,-0.47287,5.01893,-0.47287,5.00000,0.00000,0.00000,8,0.00038,0.21167,0.21030,-0.00137,0.23470,0.19480,0.33167,0.33516,0.00346,-0.28948,-0.25948,0.41154,0.41460,0.00486,3.67821,3.63414,0.15849,0.16104,0.00304,2.95036,2.99513,0.36120,0.36131,0.00332,-1.24975,-1.34224,0.20793,0.20760,-0.00179,0.19613,0.10823
