t_s,roll,pitch,yaw,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual,mt_0,enc_0,vel_0,iq_sp_0,iq_0,state_0,aerr_0,fmode_0,mt_1,enc_1,vel_1,iq_sp_1,iq_1,state_1,aerr_1,fmode_1,mt_2,enc_2,vel_2,iq_sp_2,iq_2,state_2,aerr_2,fmode_2,mt_3,enc_3,vel_3,iq_sp_3,iq_3,state_3,aerr_3,fmode_3,mt_4,enc_4,vel_4,iq_sp_4,iq_4,state_4,aerr_4,fmode_4,mt_5,enc_5,vel_5,iq_sp_5,iq_5,state_5,aerr_5,fmode_5
0.0000,-4.36247,-1.12415,-43.23829,-4.36247,-1.12415,-4.35836,-1.12497,0.64164,1.96086,5.00692,3.08583,5.00000,3.08583,0.00000,0.00000,4,0.00069,-0.84418,-0.59334,-0.00741,5.99400,5.91885,8,0x00000000,1,-0.36703,-0.36572,-0.00487,4.11177,4.09886,8,0x00000000,1,-0.36778,-0.36837,0.00073,-0.13254,-0.17800,8,0x00000000,1,-0.57802,-0.58025,0.00006,1.16163,1.21878,8,0x00000000,1,-0.60143,-0.59251,0.00108,0.33762,0.33432,8,0x00000000,1,-0.88676,-0.17752,-0.00425,5.99400,6.01648,8,0x00000000,1
0.0070,-4.36338,-1.12443,-43.23976,-4.36338,-1.12443,-4.35879,-1.12493,0.64121,1.96254,5.00697,3.08747,5.00000,3.08747,0.00000,0.00000,4,0.00182,-0.84425,-0.59334,-0.00287,5.99400,5.91325,8,0x00000000,1,-0.36703,-0.36576,0.00273,4.13221,4.12868,8,0x00000000,1,-0.36777,-0.36835,0.00202,-0.15302,-0.04328,8,0x00000000,1,-0.57795,-0.58025,-0.00055,1.12463,0.91499,8,0x00000000,1,-0.60137,-0.59252,-0.00152,0.35563,0.35690,8,0x00000000,1,-0.88682,-0.17753,-0.00805,5.99400,5.86213,8,0x00000000,1
0.0112,-4.36105,-1.12403,-43.24636,-4.36105,-1.12403,-4.35898,-1.12485,0.64102,1.96423,5.00673,3.08908,5.00000,3.08908,0.00000,0.00000,4,0.00035,-0.84432,-0.59334,0.00364,5.99400,6.00043,8,0x00000000,1,-0.36704,-0.36576,0.00273,4.11395,4.11499,8,0x00000000,1,-0.36777,-0.36835,0.00202,-0.15302,-0.04328,8,0x00000000,1,-0.57789,-0.58025,-0.00354,1.14199,1.07485,8,0x00000000,1,-0.60131,-0.59252,-0.00152,0.35093,0.39703,8,0x00000000,1,-0.88688,-0.17752,-0.00618,5.99400,5.94362,8,0x00000000,1
0.0156,-4.36105,-1.12403,-43.24636,-4.36105,-1.12403,-4.35916,-1.12478,0.64084,1.96592,5.00671,3.09070,5.00000,3.09070,0.00000,0.00000,4,0.00033,-0.84438,-0.59334,0.00364,5.99400,6.00043,8,0x00000000,1,-0.36704,-0.36579,-0.00026,4.12278,4.19772,8,0x00000000,1,-0.36777,-0.36834,0.00193,-0.14689,-0.13423,8,0x00000000,1,-0.57782,-0.58023,0.00631,1.14018,1.07205,8,0x00000000,1,-0.60125,-0.59251,0.00239,0.37685,0.33299,8,0x00000000,1,-0.88694,-0.17752,-0.00618,5.99400,5.94362,8,0x00000000,1
0.0211,-4.36267,-1.12323,-43.23878,-4.36267,-1.12323,-4.35946,-1.12465,0.64054,1.96761,5.00684,3.09225,5.00000,3.09225,0.00000,0.00000,4,0.00035,-0.84445,-0.59336,-0.00590,5.99400,6.09875,8,0x00000000,1,-0.36705,-0.36579,-0.00026,4.12278,4.19772,8,0x00000000,1,-0.36776,-0.36834,0.00193,-0.14689,-0.13423,8,0x00000000,1,-0.57775,-0.58023,0.00631,1.14018,1.07205,8,0x00000000,1,-0.60119,-0.59251,0.00239,0.37685,0.33299,8,0x00000000,1,-0.88700,-0.17752,-0.00618,5.99400,5.94362,8,0x00000000,1
0.0261,-4.36267,-1.12323,-43.23878,-4.36267,-1.12323,-4.35973,-1.12453,0.64027,1.96929,5.00681,3.09382,5.00000,3.09382,0.00000,0.00000,4,0.00033,-0.84452,-0.59336,-0.00590,5.99400,6.09875,8,0x00000000,1,-0.36705,-0.36581,-0.00347,4.10168,4.10649,8,0x00000000,1,-0.36776,-0.36834,0.00285,-0.14268,-0.19642,8,0x00000000,1,-0.57769,-0.58026,-0.01238,1.12354,1.11306,8,0x00000000,1,-0.60113,-0.59252,-0.00180,0.35597,0.34273,8,0x00000000,1,-0.88706,-0.17751,0.00707,5.99400,5.82749,8,0x00000000,1
0.0335,-4.36174,-1.12313,-43.24521,-4.36174,-1.12313,-4.35991,-1.12441,0.64009,1.97098,5.00671,3.09539,5.00000,3.09539,0.00000,0.00000,4,0.00209,-0.84458,-0.59337,-0.00484,5.99400,5.95922,8,0x00000000,1,-0.36705,-0.36581,-0.00347,4.10168,4.10649,8,0x00000000,1,-0.36776,-0.36834,0.00228,-0.14483,-0.01945,8,0x00000000,1,-0.57762,-0.58026,-0.01238,1.12354,1.11306,8,0x00000000,1,-0.60107,-0.59252,-0.00180,0.35597,0.34273,8,0x00000000,1,-0.88712,-0.17752,0.00023,5.99400,5.92385,8,0x00000000,1
0.0368,-4.36127,-1.12297,-43.24759,-4.36127,-1.12297,-4.36002,-1.12429,0.63998,1.97267,5.00666,3.09695,5.00000,3.09695,0.00000,0.00000,4,0.00030,-0.84465,-0.59337,-0.00484,5.99400,5.95922,8,0x00000000,1,-0.36706,-0.36584,-0.00643,4.11006,4.00424,8,0x00000000,1,-0.36776,-0.36834,0.00228,-0.14483,-0.01945,8,0x00000000,1,-0.57756,-0.58024,-0.00160,1.13557,1.21032,8,0x00000000,1,-0.60101,-0.59250,0.00856,0.37882,0.36587,8,0x00000000,1,-0.88718,-0.17752,0.00023,5.99400,5.92385,8,0x00000000,1
0.0430,-4.36124,-1.12249,-43.24675,-4.36124,-1.12249,-4.36013,-1.12413,0.63987,1.97435,5.00664,3.09848,5.00000,3.09848,0.00000,0.00000,4,0.00037,-0.84471,-0.59335,0.00080,5.99400,5.97976,8,0x00000000,1,-0.36706,-0.36584,-0.00643,4.11006,4.00424,8,0x00000000,1,-0.36775,-0.36834,-0.00168,-0.14483,-0.01945,8,0x00000000,1,-0.57750,-0.58024,-0.00160,1.13557,1.21032,8,0x00000000,1,-0.60095,-0.59250,0.00856,0.37882,0.36587,8,0x00000000,1,-0.88724,-0.17752,-0.00558,5.99400,6.03802,8,0x00000000,1
0.0480,-4.36124,-1.12249,-43.24675,-4.36124,-1.12249,-4.36022,-1.12399,0.63978,1.97604,5.00664,3.10003,5.00000,3.10003,0.00000,0.00000,4,0.00030,-0.84478,-0.59335,0.00301,5.99400,5.95217,8,0x00000000,1,-0.36707,-0.36586,-0.00179,4.11176,4.07358,8,0x00000000,1,-0.36775,-0.36834,-0.00168,-0.15933,-0.07567,8,0x00000000,1,-0.57743,-0.58022,0.00413,1.10576,1.04956,8,0x00000000,1,-0.60089,-0.59252,0.00030,0.33165,0.32470,8,0x00000000,1,-0.88729,-0.17752,-0.00558,5.99400,6.03802,8,0x00000000,1
