t_s,roll,pitch,yaw,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual,mt_0,enc_0,vel_0,iq_sp_0,iq_0,state_0,aerr_0,fmode_0,mt_1,enc_1,vel_1,iq_sp_1,iq_1,state_1,aerr_1,fmode_1,mt_2,enc_2,vel_2,iq_sp_2,iq_2,state_2,aerr_2,fmode_2,mt_3,enc_3,vel_3,iq_sp_3,iq_3,state_3,aerr_3,fmode_3,mt_4,enc_4,vel_4,iq_sp_4,iq_4,state_4,aerr_4,fmode_4,mt_5,enc_5,vel_5,iq_sp_5,iq_5,state_5,aerr_5,fmode_5
0.0000,-2.38299,-1.87553,-45.25611,-2.38299,-1.87553,-0.20329,-0.16000,-0.14079,-0.09750,0.20360,0.16024,0.06250,0.06250,0.00000,0.00000,3,0.00054,-0.61919,-0.93494,0.00853,0.02359,-0.02374,8,0x00000000,1,-0.58509,-0.37861,0.00577,0.04405,-0.11642,8,0x00000000,1,-0.59851,-0.35082,-0.00531,-0.01401,0.06294,8,0x00000000,1,-0.60857,-0.50113,-0.00347,0.00094,0.10644,8,0x00000000,1,-0.58617,-0.51881,-0.00952,-0.00649,-0.05800,8,0x00000000,1,-0.64196,-0.07137,0.00626,-0.07180,-0.01978,8,0x00000000,1
0.0066,-2.38362,-1.87426,-45.25599,-2.38362,-1.87426,-0.38929,-0.30624,-0.26429,-0.18124,0.24909,0.20920,0.12500,0.12500,0.00000,0.00000,3,0.00155,-0.62303,-0.93494,0.00853,0.02359,-0.02374,8,0x00000000,1,-0.58245,-0.37862,0.00385,0.00130,0.03653,8,0x00000000,1,-0.59542,-0.35082,-0.00531,-0.01401,0.06294,8,0x00000000,1,-0.60720,-0.50113,-0.00347,0.00094,0.10644,8,0x00000000,1,-0.58541,-0.51881,-0.00952,-0.00649,-0.05800,8,0x00000000,1,-0.64597,-0.07137,0.00626,-0.07180,-0.01978,8,0x00000000,1
0.0109,-2.38266,-1.87384,-45.25690,-2.38266,-1.87384,-0.55934,-0.43997,-0.37184,-0.25247,0.29589,0.25939,0.18750,0.18750,0.00000,0.00000,3,0.00066,-0.62688,-0.93494,0.00853,0.02359,-0.02374,8,0x00000000,1,-0.57981,-0.37862,0.00385,0.00130,0.03653,8,0x00000000,1,-0.59235,-0.35082,-0.00901,-0.02615,-0.07743,8,0x00000000,1,-0.60582,-0.50113,-0.00347,0.00094,0.10644,8,0x00000000,1,-0.58466,-0.51881,-0.00952,-0.00649,-0.05800,8,0x00000000,1,-0.64998,-0.07137,0.00626,-0.07180,-0.01978,8,0x00000000,1
0.0168,-2.38172,-1.87342,-45.26086,-2.38172,-1.87342,-0.71481,-0.56226,-0.46481,-0.31226,0.34404,0.31063,0.25000,0.25000,0.00000,0.00000,3,0.00119,-0.63072,-0.93501,-0.02030,-0.07196,0.02386,8,0x00000000,1,-0.57717,-0.37862,0.00385,0.00130,0.03653,8,0x00000000,1,-0.58927,-0.35082,-0.00901,-0.02615,-0.07743,8,0x00000000,1,-0.60445,-0.50114,-0.00196,0.00094,0.10644,8,0x00000000,1,-0.58391,-0.51881,-0.00952,-0.00649,-0.05800,8,0x00000000,1,-0.65398,-0.07137,0.00626,-0.07180,-0.01978,8,0x00000000,1
0.0213,-2.38227,-1.87344,-45.25752,-2.38227,-1.87344,-0.85706,-0.67411,-0.54456,-0.36161,0.39353,0.36287,0.31250,0.31250,0.00000,0.00000,3,0.00035,-0.63457,-0.93437,0.18560,-5.99400,-4.68323,8,0x00000000,1,-0.57453,-0.37861,0.00355,5.99400,0.91626,8,0x00000000,1,-0.58620,-0.35081,-0.00683,5.99400,1.15026,8,0x00000000,1,-0.60307,-0.50114,-0.00321,5.99400,0.87150,8,0x00000000,1,-0.58315,-0.51882,-0.00923,5.99400,3.85780,8,0x00000000,1,-0.65799,-0.07139,-0.00109,5.99400,0.82646,8,0x00000000,1
0.0263,-2.38326,-1.87320,-45.25446,-2.38326,-1.87320,-0.98726,-0.77640,-0.61226,-0.40140,0.44418,0.41596,0.37500,0.37500,0.00000,0.00000,3,0.00026,-0.63842,-0.92380,1.28622,-3.18531,-2.38162,8,0x00000000,1,-0.57189,-0.38486,-0.98970,4.11977,3.59413,8,0x00000000,1,-0.58312,-0.35641,-0.85719,4.47131,3.97330,8,0x00000000,1,-0.60170,-0.50599,-0.84362,4.57061,4.26323,8,0x00000000,1,-0.58240,-0.51882,-0.00923,5.99400,3.85780,8,0x00000000,1,-0.66200,-0.07139,-0.00109,5.99400,0.82646,8,0x00000000,1
0.0314,-2.38326,-1.87320,-45.25446,-2.38326,-1.87320,-1.10635,-0.86997,-0.66885,-0.43247,0.49575,0.46987,0.43750,0.43750,0.00000,0.00000,3,0.00034,-0.64227,-0.92380,1.28622,-3.18531,-2.38162,8,0x00000000,1,-0.56924,-0.39535,-0.90917,4.39002,4.86412,8,0x00000000,1,-0.58006,-0.35641,-0.85719,4.47131,3.97330,8,0x00000000,1,-0.60032,-0.50599,-0.84362,4.57061,4.26323,8,0x00000000,1,-0.58165,-0.52759,-1.35625,1.54731,1.65867,8,0x00000000,1,-0.66601,-0.07391,-0.31100,5.99400,6.48377,8,0x00000000,1
0.0371,-2.38407,-1.87417,-45.26184,-2.38407,-1.87417,-1.21535,-0.95564,-0.71535,-0.45564,0.54832,0.52460,0.50000,0.50000,0.00000,0.00000,3,0.00051,-0.64612,-0.90725,1.88231,-1.50640,-1.54374,8,0x00000000,1,-0.56659,-0.39535,-0.90917,4.39002,4.86412,8,0x00000000,1,-0.57699,-0.36362,-0.64092,5.23797,5.40073,8,0x00000000,1,-0.59895,-0.51507,-0.80819,4.70651,4.84634,8,0x00000000,1,-0.58090,-0.52759,-1.35625,1.54731,1.65867,8,0x00000000,1,-0.67001,-0.07391,-0.31100,5.99400,6.48377,8,0x00000000,1
0.0420,-2.38407,-1.87417,-45.26184,-2.38407,-1.87417,-1.31505,-1.03400,-0.75255,-0.47150,0.60167,0.57991,0.56250,0.56250,0.00000,0.00000,3,0.00036,-0.64997,-0.89580,2.13690,-1.50640,-1.54374,8,0x00000000,1,-0.56394,-0.40209,-0.58375,5.49329,5.71887,8,0x00000000,1,-0.57393,-0.36769,-0.63813,5.23797,5.40073,8,0x00000000,1,-0.59757,-0.51721,-0.64130,4.70651,4.84634,8,0x00000000,1,-0.58015,-0.53777,-0.83002,2.50665,2.61014,8,0x00000000,1,-0.67402,-0.07486,-0.04214,5.99400,6.00042,8,0x00000000,1
0.3723,-2.39220,-1.86741,-45.26750,-2.39220,-1.86741,-1.40694,-1.10509,-0.78194,-0.48009,0.65650,0.63526,0.62500,0.62500,0.00000,0.00000,3,0.00033,-0.65382,-0.88546,2.24885,-0.38016,-0.52647,8,0x00000000,1,-0.56129,-0.40209,-0.58375,5.49329,5.71887,8,0x00000000,1,-0.57087,-0.37018,-0.69914,5.16465,5.13089,8,0x00000000,1,-0.59620,-0.51721,-0.64130,4.70651,4.84634,8,0x00000000,1,-0.57940,-0.53777,-0.83002,2.50665,2.61014,8,0x00000000,1,-0.67803,-0.07486,-0.04214,5.99400,6.00042,8,0x00000000,1
