t_s,roll,pitch,yaw,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual,mt_0,enc_0,vel_0,iq_sp_0,iq_0,state_0,aerr_0,fmode_0,mt_1,enc_1,vel_1,iq_sp_1,iq_1,state_1,aerr_1,fmode_1,mt_2,enc_2,vel_2,iq_sp_2,iq_2,state_2,aerr_2,fmode_2,mt_3,enc_3,vel_3,iq_sp_3,iq_3,state_3,aerr_3,fmode_3,mt_4,enc_4,vel_4,iq_sp_4,iq_4,state_4,aerr_4,fmode_4,mt_5,enc_5,vel_5,iq_sp_5,iq_5,state_5,aerr_5,fmode_5
0.0000,-1.92108,-2.44009,-45.79992,-1.92108,-2.44009,-0.16388,-0.20816,-0.10138,-0.14566,0.16401,0.20837,0.06250,0.06250,0.00000,0.00000,3,0.00056,-0.68518,-0.66696,-0.02212,2.34113,2.46981,8,0x00000000,1,-0.65111,-0.64611,-0.00152,2.58923,2.63898,8,0x00000000,1,-0.66449,-0.65394,-0.00992,1.81328,1.72321,8,0x00000000,1,-0.67459,-0.68445,-0.03176,4.14917,4.13438,8,0x00000000,1,-0.65215,-0.64370,-0.00712,3.37484,3.42689,8,0x00000000,1,-0.70799,-0.71572,-0.04327,7.28863,7.32936,8,0x00000000,1
0.0065,-1.91754,-2.44653,-45.78835,-1.91754,-2.44653,-0.31349,-0.39911,-0.18849,-0.27411,0.21257,0.25405,0.12500,0.12500,0.00000,0.00000,3,0.00158,-0.68903,-0.66696,-0.02212,2.34113,2.46981,8,0x00000000,1,-0.64847,-0.64610,-0.00162,2.58555,2.60395,8,0x00000000,1,-0.66141,-0.65394,-0.00992,1.81328,1.72321,8,0x00000000,1,-0.67322,-0.68445,-0.03176,4.14917,4.13438,8,0x00000000,1,-0.65140,-0.64370,-0.00712,3.37484,3.42689,8,0x00000000,1,-0.71200,-0.71572,-0.04327,7.28863,7.32936,8,0x00000000,1
0.0117,-1.91666,-2.45216,-45.77570,-1.91666,-2.45216,-0.45025,-0.57426,-0.26275,-0.38676,0.26244,0.30100,0.18750,0.18750,0.00000,0.00000,3,0.00171,-0.69287,-0.66696,-0.02212,2.34113,2.46981,8,0x00000000,1,-0.64583,-0.64610,-0.00162,2.58555,2.60395,8,0x00000000,1,-0.65833,-0.65405,-0.00941,1.81328,1.72321,8,0x00000000,1,-0.67184,-0.68445,-0.03176,4.14917,4.13438,8,0x00000000,1,-0.65064,-0.64370,-0.00712,3.37484,3.42689,8,0x00000000,1,-0.71601,-0.71579,0.00290,7.44824,7.18820,8,0x00000000,1
0.0167,-1.91227,-2.46031,-45.77221,-1.91227,-2.46031,-0.57497,-0.73515,-0.32497,-0.48515,0.31309,0.34950,0.25000,0.25000,0.00000,0.00000,3,0.00118,-0.69672,-0.66691,0.01819,2.41730,2.41802,8,0x00000000,1,-0.64319,-0.64611,-0.00393,2.56716,2.62595,8,0x00000000,1,-0.65525,-0.65405,-0.00941,1.80461,1.79219,8,0x00000000,1,-0.67047,-0.68471,-0.02772,4.16976,4.14310,8,0x00000000,1,-0.64989,-0.64365,0.01372,3.46057,3.38889,8,0x00000000,1,-0.72002,-0.71579,0.00290,7.44824,7.18820,8,0x00000000,1
0.0209,-1.90743,-2.46585,-45.76186,-1.90743,-2.46585,-0.68864,-0.88280,-0.37614,-0.57030,0.36470,0.39897,0.31250,0.31250,0.00000,0.00000,3,0.00026,-0.70057,-0.66909,-0.28720,4.58081,4.65666,8,0x00000000,1,-0.64054,-0.64611,-0.00094,3.06142,3.13101,8,0x00000000,1,-0.65217,-0.65420,-0.06172,2.82756,2.57267,8,0x00000000,1,-0.66909,-0.68455,0.06334,3.12535,3.11929,8,0x00000000,1,-0.64914,-0.64386,-0.05750,4.47971,4.40030,8,0x00000000,1,-0.72403,-0.71593,-0.02161,7.26192,7.05204,8,0x00000000,1
0.0278,-1.90715,-2.46779,-45.75304,-1.90715,-2.46779,-0.79259,-1.01801,-0.41759,-0.64301,0.41764,0.44924,0.37500,0.37500,0.00000,0.00000,3,0.00144,-0.70442,-0.66909,-0.28720,4.58081,4.65666,8,0x00000000,1,-0.63790,-0.64611,-0.00094,3.06142,3.13101,8,0x00000000,1,-0.64910,-0.65463,-0.01061,2.82756,2.57267,8,0x00000000,1,-0.66772,-0.68455,0.06334,3.12535,3.11929,8,0x00000000,1,-0.64839,-0.64386,-0.05750,4.47971,4.40030,8,0x00000000,1,-0.72804,-0.71606,-0.02151,7.25018,7.20334,8,0x00000000,1
0.0317,-1.90641,-2.46848,-45.74760,-1.90641,-2.46848,-0.88761,-1.14175,-0.45011,-0.70425,0.47135,0.50045,0.43750,0.43750,0.00000,0.00000,3,0.00025,-0.70827,-0.67205,-0.29959,4.43288,4.40670,8,0x00000000,1,-0.63525,-0.64611,-0.00100,3.06476,2.94330,8,0x00000000,1,-0.64603,-0.65463,-0.01061,2.96573,2.99832,8,0x00000000,1,-0.66634,-0.68450,0.00304,2.91508,2.85009,8,0x00000000,1,-0.64763,-0.64453,-0.04879,4.44577,4.47856,8,0x00000000,1,-0.73205,-0.71606,-0.02151,7.25018,7.20334,8,0x00000000,1
0.0394,-1.90645,-2.46917,-45.74573,-1.90645,-2.46917,-0.97453,-1.25499,-0.47453,-0.75499,0.52588,0.55262,0.50000,0.50000,0.00000,0.00000,3,0.00115,-0.71213,-0.67205,-0.29959,4.43288,4.40670,8,0x00000000,1,-0.63260,-0.64611,-0.00100,3.06476,2.94330,8,0x00000000,1,-0.64296,-0.65413,0.10237,2.96573,2.99832,8,0x00000000,1,-0.66496,-0.68450,0.00304,2.91508,2.85009,8,0x00000000,1,-0.64688,-0.64453,-0.04879,4.44577,4.47856,8,0x00000000,1,-0.73606,-0.71705,-0.25158,8.59848,8.63469,8,0x00000000,1
0.0436,-1.90520,-2.47076,-45.74908,-1.90520,-2.47076,-1.05392,-1.35871,-0.49142,-0.79621,0.58098,0.60575,0.56250,0.56250,0.00000,0.00000,3,0.00028,-0.71598,-0.67631,-0.49919,4.93770,4.74312,8,0x00000000,1,-0.62995,-0.64608,0.00970,1.64050,1.57034,8,0x00000000,1,-0.63990,-0.65413,0.10237,1.57442,1.66689,8,0x00000000,1,-0.66359,-0.68430,0.03673,2.54812,2.63683,8,0x00000000,1,-0.64613,-0.64465,0.00406,4.01009,4.16303,8,0x00000000,1,-0.74007,-0.71705,-0.25158,8.59848,8.63469,8,0x00000000,1
0.0488,-1.90520,-2.47076,-45.74908,-1.90520,-2.47076,-1.12654,-1.45357,-0.50154,-0.82857,0.63681,0.65955,0.62500,0.62500,0.00000,0.00000,3,0.00034,-0.71984,-0.68166,-0.57809,4.46196,4.20363,8,0x00000000,1,-0.62729,-0.64608,0.00970,1.64050,1.57034,8,0x00000000,1,-0.63683,-0.65382,0.00201,1.24559,1.21271,8,0x00000000,1,-0.66221,-0.68429,-0.00172,2.40202,2.36948,8,0x00000000,1,-0.64538,-0.64465,0.00407,4.01123,4.11200,8,0x00000000,1,-0.74408,-0.71986,-0.26900,8.33186,8.02331,8,0x00000000,1
