t_s,roll,pitch,yaw,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual,mt_0,enc_0,vel_0,iq_sp_0,iq_0,state_0,aerr_0,fmode_0,mt_1,enc_1,vel_1,iq_sp_1,iq_1,state_1,aerr_1,fmode_1,mt_2,enc_2,vel_2,iq_sp_2,iq_2,state_2,aerr_2,fmode_2,mt_3,enc_3,vel_3,iq_sp_3,iq_3,state_3,aerr_3,fmode_3,mt_4,enc_4,vel_4,iq_sp_4,iq_4,state_4,aerr_4,fmode_4,mt_5,enc_5,vel_5,iq_sp_5,iq_5,state_5,aerr_5,fmode_5
0.0000,-0.18869,-1.21269,-46.05900,-0.18869,-1.21269,-0.01610,-0.10345,0.00000,-0.04095,0.01610,0.10350,0.01610,0.06250,0.00000,0.00000,18,0.00155,-0.68425,-0.72805,0.00293,0.05615,-0.05458,8,0x00000000,1,-0.65324,-0.71524,-0.00279,-0.00728,0.00626,8,0x00000000,1,-0.66662,-0.71731,-0.00060,-0.01153,0.01655,8,0x00000000,1,-0.67368,-0.57327,-0.01026,-0.04558,0.05807,8,0x00000000,1,-0.65095,-0.55182,-0.00743,-0.02941,-0.05515,8,0x00000000,1,-0.70677,-0.73902,0.00178,-0.00671,-0.02552,8,0x00000000,1
0.0047,-0.19169,-1.21362,-46.05384,-0.19169,-1.21362,-0.03108,-0.19816,0.00000,-0.07316,0.03108,0.15751,0.03108,0.12500,0.00000,0.00000,2,0.00050,-0.68715,-0.72805,0.00293,0.05615,-0.05458,8,0x00000000,1,-0.65279,-0.71525,-0.00609,-0.00728,0.00626,8,0x00000000,1,-0.66572,-0.71731,-0.00060,-0.01153,0.01655,8,0x00000000,1,-0.67137,-0.57327,-0.01026,-0.04558,0.05807,8,0x00000000,1,-0.64896,-0.55182,-0.00743,-0.02941,-0.05515,8,0x00000000,1,-0.70953,-0.73902,0.00178,-0.00671,-0.02552,8,0x00000000,1
0.0095,-0.19208,-1.21403,-46.05352,-0.19208,-1.21403,-0.04481,-0.28482,0.00001,-0.09732,0.04482,0.21210,0.04482,0.18750,0.00000,0.00000,2,0.00030,-0.69002,-0.72805,0.00571,-0.00015,0.04861,8,0x00000000,1,-0.65239,-0.71524,0.00194,-4.53048,-0.41641,8,0x00000000,1,-0.66487,-0.71732,-0.00376,0.00783,0.02838,8,0x00000000,1,-0.66903,-0.57325,-0.00503,-0.01866,0.05735,8,0x00000000,1,-0.64694,-0.55181,-0.00434,-0.01616,-0.08514,8,0x00000000,1,-0.71226,-0.73902,0.00215,-0.00329,0.12208,8,0x00000000,1
0.0154,-0.19019,-1.21372,-46.06038,-0.19019,-1.21372,-0.05721,-0.36407,0.00002,-0.11407,0.05723,0.26729,0.05723,0.25000,0.00000,0.00000,2,0.00104,-0.69287,-0.72801,0.02083,-4.55731,-1.00930,8,0x00000000,1,-0.65206,-0.71524,0.00194,-4.53048,-0.41641,8,0x00000000,1,-0.66409,-0.71728,0.01759,-4.52674,-0.76017,8,0x00000000,1,-0.66667,-0.57325,-0.00503,-0.01866,0.05735,8,0x00000000,1,-0.64488,-0.55182,-0.00582,4.53205,0.87340,8,0x00000000,1,-0.71495,-0.73903,0.00377,-3.93362,-0.42634,8,0x00000000,1
0.0196,-0.18871,-1.21365,-46.06352,-0.18871,-1.21365,-0.06843,-0.43654,0.00004,-0.12404,0.06847,0.32313,0.06847,0.31250,0.00000,0.00000,2,0.00030,-0.69569,-0.72801,0.02083,-4.55731,-1.00930,8,0x00000000,1,-0.65177,-0.71302,0.55609,-2.98414,-3.03532,8,0x00000000,1,-0.66336,-0.71728,0.01759,-4.52674,-0.76017,8,0x00000000,1,-0.66429,-0.57343,-0.06181,4.38562,1.77298,8,0x00000000,1,-0.64279,-0.55182,-0.00582,4.53205,0.87340,8,0x00000000,1,-0.71762,-0.73903,0.00377,-3.93362,-0.42634,8,0x00000000,1
0.0256,-0.18864,-1.21270,-46.06117,-0.18864,-1.21270,-0.07869,-0.50276,0.00006,-0.12776,0.07875,0.37947,0.07875,0.37500,0.00000,0.00000,2,0.00108,-0.69850,-0.72439,0.57755,-2.91071,-2.98895,8,0x00000000,1,-0.65154,-0.71302,0.55609,-2.98414,-3.03532,8,0x00000000,1,-0.66267,-0.71371,0.60613,-2.81334,-2.59287,8,0x00000000,1,-0.66189,-0.57696,-0.43751,3.30010,3.50948,8,0x00000000,1,-0.64068,-0.55351,-0.35566,3.59812,3.29653,8,0x00000000,1,-0.72025,-0.73811,0.17426,-3.43530,-3.07132,8,0x00000000,1
0.0298,-0.18884,-1.21237,-46.05577,-0.18884,-1.21237,-0.08808,-0.56329,0.00009,-0.12691,0.08818,0.43638,0.08818,0.43638,0.00000,0.00000,0,0.00026,-0.70124,-0.72439,0.57755,-2.91071,-2.98895,8,0x00000000,1,-0.65133,-0.70368,1.03896,-1.54488,-1.44807,8,0x00000000,1,-0.66203,-0.71371,0.60613,-2.81334,-2.59287,8,0x00000000,1,-0.65953,-0.57696,-0.43751,3.30010,3.50948,8,0x00000000,1,-0.63858,-0.55351,-0.35566,3.59812,3.29653,8,0x00000000,1,-0.72283,-0.73811,0.17426,-3.43530,-3.07132,8,0x00000000,1
0.0363,-0.18884,-1.21216,-46.05306,-0.18884,-1.21216,-0.09668,-0.61865,0.00013,-0.12598,0.09681,0.49266,0.09681,0.49266,0.00000,0.00000,0,0.00114,-0.70376,-0.71638,0.83534,0.69279,-0.66535,8,0x00000000,1,-0.65115,-0.70368,1.03896,-1.54488,-1.44807,8,0x00000000,1,-0.66144,-0.70461,0.99419,-1.67640,-1.43898,8,0x00000000,1,-0.65735,-0.57987,-0.18558,4.14075,4.32946,8,0x00000000,1,-0.63666,-0.55805,-0.35213,3.60204,3.72101,8,0x00000000,1,-0.72519,-0.73572,0.19280,-0.73365,-1.31685,8,0x00000000,1
0.0405,-0.18579,-1.23124,-46.05153,-0.18579,-1.23124,-0.10428,-0.67091,0.00018,-0.12498,0.10446,0.54593,0.10446,0.54593,0.00000,0.00000,0,0.00030,-0.70613,-0.71638,0.83534,0.69279,-0.66535,8,0x00000000,1,-0.65099,-0.69175,1.20172,-1.06883,-1.02830,8,0x00000000,1,-0.66091,-0.70461,0.99419,-1.67640,-1.43898,8,0x00000000,1,-0.65529,-0.57987,-0.18558,4.14075,4.32946,8,0x00000000,1,-0.63483,-0.55805,-0.35213,3.60204,3.72101,8,0x00000000,1,-0.72740,-0.73572,0.19280,-0.73365,-1.31685,8,0x00000000,1
0.0458,-0.18579,-1.23124,-46.05153,-0.18579,-1.23124,-0.11123,-0.71871,0.00023,-0.12390,0.11147,0.59481,0.11147,0.59481,0.00000,0.00000,0,0.00045,-0.70830,-0.70813,0.57779,0.33876,-0.15455,8,0x00000000,1,-0.65086,-0.68555,1.31922,-0.38388,-0.73963,8,0x00000000,1,-0.66042,-0.69014,1.28884,0.20777,-0.62851,8,0x00000000,1,-0.65339,-0.58094,-0.08226,4.53395,4.64083,8,0x00000000,1,-0.63315,-0.56016,-0.12292,4.32983,4.56746,8,0x00000000,1,-0.72944,-0.73522,0.05380,-1.16556,-1.21263,8,0x00000000,1
