t_s,roll,pitch,yaw,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual,mt_0,enc_0,vel_0,iq_sp_0,iq_0,state_0,aerr_0,fmode_0,mt_1,enc_1,vel_1,iq_sp_1,iq_1,state_1,aerr_1,fmode_1,mt_2,enc_2,vel_2,iq_sp_2,iq_2,state_2,aerr_2,fmode_2,mt_3,enc_3,vel_3,iq_sp_3,iq_3,state_3,aerr_3,fmode_3,mt_4,enc_4,vel_4,iq_sp_4,iq_4,state_4,aerr_4,fmode_4,mt_5,enc_5,vel_5,iq_sp_5,iq_5,state_5,aerr_5,fmode_5
0.0000,0.92012,-0.22832,-46.20776,0.92012,-0.22832,0.07849,-0.01948,-0.00001,0.00000,-0.03926,0.00974,-0.03926,0.00974,0.00000,0.00000,32,0.00042,-0.68095,-0.73562,-0.00525,0.04760,0.12625,8,0x00000000,1,-0.65559,-0.78489,0.00642,0.00734,-0.02191,8,0x00000000,1,-0.66935,-0.78471,-0.00902,-0.02133,0.06254,8,0x00000000,1,-0.67478,-0.50425,0.00325,0.00438,0.02972,8,0x00000000,1,-0.65152,-0.48251,-0.00000,-0.01653,-0.08300,8,0x00000000,1,-0.70332,-0.75051,0.01086,0.03613,0.04706,8,0x00000000,1
0.0080,0.92070,-0.22756,-46.20702,0.92070,-0.22756,0.15034,-0.03723,-0.00006,0.00000,-0.07524,0.01862,-0.07524,0.01862,0.00000,0.00000,0,0.00179,-0.68060,-0.73560,0.00364,0.02087,0.03015,8,0x00000000,1,-0.65727,-0.78489,0.00642,0.00734,-0.02191,8,0x00000000,1,-0.67097,-0.78471,-0.00902,-0.02133,0.06254,8,0x00000000,1,-0.67370,-0.50425,0.00325,0.00438,0.02972,8,0x00000000,1,-0.65025,-0.48254,-0.01943,-0.02891,-0.01953,8,0x00000000,1,-0.70271,-0.75051,0.01086,0.03613,0.04706,8,0x00000000,1
0.0135,0.92088,-0.22797,-46.20840,0.92088,-0.22797,0.21608,-0.05350,-0.00018,0.00001,-0.10822,0.02676,-0.10822,0.02676,0.00000,0.00000,0,0.00224,-0.68028,-0.73560,0.00364,0.02087,0.03015,8,0x00000000,1,-0.65882,-0.78493,-0.01023,-0.03452,0.00277,8,0x00000000,1,-0.67246,-0.78470,-0.00484,-0.00445,-0.04455,8,0x00000000,1,-0.67272,-0.50426,0.00420,0.00255,-0.00667,8,0x00000000,1,-0.64908,-0.48254,-0.01943,-0.02891,-0.01953,8,0x00000000,1,-0.70215,-0.75053,0.00403,0.00896,-0.10887,8,0x00000000,1
0.0167,0.91818,-0.22807,-46.20166,0.91818,-0.22807,0.27597,-0.06839,-0.00037,0.00002,-0.13835,0.03421,-0.13835,0.03421,0.00000,0.00000,0,0.00034,-0.67999,-0.73560,0.00992,0.04156,0.00293,8,0x00000000,1,-0.66023,-0.78493,-0.01023,-0.03452,0.00277,8,0x00000000,1,-0.67382,-0.78470,-0.00484,-0.00445,-0.04455,8,0x00000000,1,-0.67181,-0.50426,0.00420,0.00255,-0.00667,8,0x00000000,1,-0.64802,-0.48252,-0.00406,-0.03268,0.05006,8,0x00000000,1,-0.70164,-0.75053,0.00403,0.00896,-0.10887,8,0x00000000,1
0.0218,0.91818,-0.22807,-46.20166,0.91818,-0.22807,0.33076,-0.08201,-0.00062,0.00003,-0.16599,0.04104,-0.16599,0.04104,0.00000,0.00000,0,0.00032,-0.67972,-0.73560,0.00992,0.04156,0.00293,8,0x00000000,1,-0.66153,-0.78492,-0.00176,-0.03088,-0.08442,8,0x00000000,1,-0.67506,-0.78470,-0.00694,-0.01405,0.08288,8,0x00000000,1,-0.67098,-0.50427,-0.00477,-0.00007,0.05538,8,0x00000000,1,-0.64704,-0.48252,-0.00406,-0.03268,0.05006,8,0x00000000,1,-0.70118,-0.75055,-0.00366,0.00387,-0.02260,8,0x00000000,1
0.0269,0.91880,-0.22804,-46.20325,0.91880,-0.22804,0.38092,-0.09447,-0.00090,0.00005,-0.19136,0.04728,-0.19136,0.04728,0.00000,0.00000,0,0.00031,-0.67947,-0.73551,0.03788,-4.42307,-0.97793,8,0x00000000,1,-0.66272,-0.78490,0.00596,-4.56777,-2.02537,8,0x00000000,1,-0.67621,-0.78454,0.04608,-4.43450,-1.24109,8,0x00000000,1,-0.67022,-0.50453,-0.07073,4.37663,3.07234,8,0x00000000,1,-0.64614,-0.48254,-0.00807,4.53589,1.05931,8,0x00000000,1,-0.70075,-0.75051,0.00900,-4.49580,-0.73339,8,0x00000000,1
0.0333,0.91880,-0.22804,-46.20325,0.91880,-0.22804,0.42681,-0.10587,-0.00122,0.00007,-0.21463,0.05300,-0.21463,0.05300,0.00000,0.00000,0,0.00056,-0.67924,-0.73551,0.03788,-4.42307,-0.97793,8,0x00000000,1,-0.66381,-0.78490,0.00596,-4.56777,-2.02537,8,0x00000000,1,-0.67726,-0.78454,0.04608,-4.43450,-1.24109,8,0x00000000,1,-0.66952,-0.50453,-0.07073,4.37663,3.07234,8,0x00000000,1,-0.64532,-0.48254,-0.00807,4.53589,1.05931,8,0x00000000,1,-0.70036,-0.75051,0.00900,-4.49580,-0.73339,8,0x00000000,1
0.0390,0.91982,-0.22864,-46.20826,0.91982,-0.22864,0.46887,-0.11634,-0.00157,0.00010,-0.23601,0.05827,-0.23601,0.05827,0.00000,0.00000,0,0.00111,-0.67903,-0.73101,0.68534,-2.55325,-2.23514,8,0x00000000,1,-0.66482,-0.77972,0.75276,-2.38405,-2.12974,8,0x00000000,1,-0.67822,-0.78004,0.69512,-2.56484,-2.06873,8,0x00000000,1,-0.66888,-0.50884,-0.51135,3.10003,3.15231,8,0x00000000,1,-0.64457,-0.48379,-0.21081,4.08935,3.76651,8,0x00000000,1,-0.70000,-0.74805,0.44266,-3.29184,-3.05778,8,0x00000000,1
0.0432,0.92038,-0.22858,-46.20742,0.92038,-0.22858,0.50738,-0.12591,-0.00195,0.00014,-0.25565,0.06309,-0.25565,0.06309,0.00000,0.00000,0,0.00032,-0.67884,-0.72166,0.98638,-1.64797,-1.81510,8,0x00000000,1,-0.66574,-0.77972,0.75276,-2.38405,-2.12974,8,0x00000000,1,-0.67911,-0.78004,0.69512,-2.56484,-2.06873,8,0x00000000,1,-0.66829,-0.50884,-0.51135,3.10003,3.15231,8,0x00000000,1,-0.64387,-0.49073,-0.52795,3.10566,3.43386,8,0x00000000,1,-0.69967,-0.74805,0.44266,-3.29184,-3.05778,8,0x00000000,1
0.0487,0.91927,-0.23043,-46.19771,0.91927,-0.23043,0.54252,-0.13483,-0.00236,0.00018,-0.27362,0.06759,-0.27362,0.06759,0.00000,0.00000,0,0.00036,-0.67867,-0.72166,0.98638,-1.64797,-1.81510,8,0x00000000,1,-0.66658,-0.76991,1.09145,-1.37654,-1.31024,8,0x00000000,1,-0.67992,-0.77029,1.07144,-1.43775,-1.68770,8,0x00000000,1,-0.66775,-0.51281,-0.33980,3.66857,3.72901,8,0x00000000,1,-0.64324,-0.49073,-0.52795,3.10566,3.43386,8,0x00000000,1,-0.69936,-0.74259,0.50325,-3.12613,-3.40176,8,0x00000000,1
