t_s,roll,pitch,yaw,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual,mt_0,enc_0,vel_0,iq_sp_0,iq_0,state_0,aerr_0,fmode_0,mt_1,enc_1,vel_1,iq_sp_1,iq_1,state_1,aerr_1,fmode_1,mt_2,enc_2,vel_2,iq_sp_2,iq_2,state_2,aerr_2,fmode_2,mt_3,enc_3,vel_3,iq_sp_3,iq_3,state_3,aerr_3,fmode_3,mt_4,enc_4,vel_4,iq_sp_4,iq_4,state_4,aerr_4,fmode_4,mt_5,enc_5,vel_5,iq_sp_5,iq_5,state_5,aerr_5,fmode_5
0.0000,1.29407,-1.07397,-46.10259,1.29407,-1.07397,0.11040,-0.09162,0.15829,-0.12074,-0.22087,0.18329,-0.06250,0.06250,0.00000,0.00000,3,0.00129,-0.68268,-0.79408,0.00160,-0.02745,0.05060,8,0x00000000,1,-0.65685,-0.74987,-0.00408,-0.00404,-0.02974,8,0x00000000,1,-0.67023,-0.73487,-0.00300,-0.01864,-0.07848,8,0x00000000,1,-0.67213,-0.50030,0.00155,0.00726,0.01739,8,0x00000000,1,-0.64891,-0.47269,0.00756,0.04321,-0.00482,8,0x00000000,1,-0.70471,-0.78905,0.00553,0.00106,0.05999,8,0x00000000,1
0.0072,1.29364,-1.07096,-46.10167,1.29364,-1.07096,0.21134,-0.17517,0.29767,-0.22533,-0.26470,0.22995,-0.12500,0.12500,0.00000,0.00000,3,0.00114,-0.68403,-0.79408,0.00160,-0.02745,0.05060,8,0x00000000,1,-0.65997,-0.74987,-0.00408,-0.00404,-0.02974,8,0x00000000,1,-0.67289,-0.73487,-0.00300,-0.01864,-0.07848,8,0x00000000,1,-0.66829,-0.50030,0.00155,0.00726,0.01739,8,0x00000000,1,-0.64490,-0.47269,0.00756,0.04321,-0.00482,8,0x00000000,1,-0.70544,-0.78905,0.00553,0.00106,0.05999,8,0x00000000,1
0.0136,1.29358,-1.07110,-46.10241,1.29358,-1.07110,0.30366,-0.25160,0.41982,-0.31569,-0.31011,0.27824,-0.18750,0.18750,0.00000,0.00000,3,0.00208,-0.68537,-0.79409,0.00279,0.03994,-0.00138,8,0x00000000,1,-0.66308,-0.74984,0.01272,0.03040,-0.06379,8,0x00000000,1,-0.67554,-0.73486,0.00039,-0.00311,0.04139,8,0x00000000,1,-0.66446,-0.50030,0.00229,0.01026,0.02285,8,0x00000000,1,-0.64090,-0.47270,0.00242,0.02348,0.09301,8,0x00000000,1,-0.70617,-0.78908,-0.01112,-0.03599,-0.15249,8,0x00000000,1
0.0167,1.29356,-1.07109,-46.10371,1.29356,-1.07109,0.38811,-0.32151,0.52622,-0.39301,-0.35698,0.32780,-0.25000,0.25000,0.00000,0.00000,3,0.00025,-0.68672,-0.79409,-0.00312,-4.53594,-0.69330,8,0x00000000,1,-0.66620,-0.74987,-0.00280,-4.55757,-0.87386,8,0x00000000,1,-0.67819,-0.73469,0.05355,-4.42171,-1.26065,8,0x00000000,1,-0.66062,-0.50030,0.00229,0.01026,0.02285,8,0x00000000,1,-0.63690,-0.47272,-0.00849,4.53018,0.70001,8,0x00000000,1,-0.70690,-0.78905,0.00674,-4.55039,-0.75049,8,0x00000000,1
0.0220,1.29356,-1.07109,-46.10371,1.29356,-1.07109,0.46535,-0.38545,0.61820,-0.45840,-0.40518,0.37847,-0.31250,0.31250,0.00000,0.00000,3,0.00035,-0.68806,-0.79409,-0.00312,-4.53594,-0.69330,8,0x00000000,1,-0.66932,-0.74987,-0.00280,-4.55757,-0.87386,8,0x00000000,1,-0.68083,-0.73469,0.05355,-4.42171,-1.26065,8,0x00000000,1,-0.65679,-0.50074,-0.11414,4.27002,2.66997,8,0x00000000,1,-0.63290,-0.47272,-0.00849,4.53018,0.70001,8,0x00000000,1,-0.70763,-0.78905,0.00674,-4.55039,-0.75049,8,0x00000000,1
0.0270,1.29247,-1.07161,-46.10118,1.29247,-1.07161,0.53591,-0.44399,0.69682,-0.51297,-0.45442,0.43024,-0.37500,0.37500,0.00000,0.00000,3,0.00029,-0.68941,-0.79115,0.48287,-3.19541,-2.96350,8,0x00000000,1,-0.67244,-0.74626,0.58684,-2.85158,-2.53102,8,0x00000000,1,-0.68348,-0.72945,0.78590,-2.29563,-1.90745,8,0x00000000,1,-0.65296,-0.50074,-0.11414,4.27002,2.66997,8,0x00000000,1,-0.62890,-0.47622,-0.68303,2.55651,2.12960,8,0x00000000,1,-0.70836,-0.78696,0.38340,-3.51144,-3.56548,8,0x00000000,1
0.0321,1.29247,-1.07161,-46.10118,1.29247,-1.07161,0.60045,-0.49753,0.76341,-0.55756,-0.50498,0.48283,-0.43750,0.43750,0.00000,0.00000,3,0.00032,-0.69075,-0.79115,0.48287,-3.19541,-2.96350,8,0x00000000,1,-0.67557,-0.74626,0.58684,-2.85158,-2.53102,8,0x00000000,1,-0.68612,-0.72945,0.78590,-2.29563,-1.90745,8,0x00000000,1,-0.64913,-0.50554,-0.55643,2.99459,3.10263,8,0x00000000,1,-0.62490,-0.47622,-0.68303,2.55651,2.12960,8,0x00000000,1,-0.70910,-0.78696,0.38340,-3.51144,-3.56548,8,0x00000000,1
0.0379,1.29468,-1.07785,-46.09131,1.29468,-1.07785,0.65968,-0.54704,0.81935,-0.59407,-0.55694,0.53733,-0.50000,0.50000,0.00000,0.00000,3,0.00039,-0.69210,-0.78391,0.81105,-2.23411,-1.93168,8,0x00000000,1,-0.67870,-0.73742,1.01417,-1.63992,-1.72421,8,0x00000000,1,-0.68877,-0.72945,0.78590,-2.29563,-1.90745,8,0x00000000,1,-0.64531,-0.50554,-0.55643,2.99459,3.10263,8,0x00000000,1,-0.62089,-0.48288,-0.52574,3.07775,3.36242,8,0x00000000,1,-0.70983,-0.78696,0.38340,-3.51144,-3.56548,8,0x00000000,1
0.0428,1.29468,-1.07785,-46.09131,1.29468,-1.07785,0.71385,-0.59232,0.86519,-0.62214,-0.60941,0.59145,-0.56250,0.56250,0.00000,0.00000,3,0.00026,-0.69344,-0.78391,0.81105,-2.23411,-1.93168,8,0x00000000,1,-0.68183,-0.73742,1.01417,-1.63992,-1.72421,8,0x00000000,1,-0.69141,-0.71738,1.32405,0.26190,-0.60970,8,0x00000000,1,-0.64148,-0.50986,-0.33561,3.70838,3.63075,8,0x00000000,1,-0.61689,-0.48288,-0.52574,3.07775,3.36242,8,0x00000000,1,-0.71057,-0.78200,0.46398,-3.29247,-3.18303,8,0x00000000,1
0.0483,1.30052,-1.11048,-46.07269,1.30052,-1.11048,0.76390,-0.63652,0.90279,-0.64805,-0.66374,0.65186,-0.62500,0.62500,0.00000,0.00000,3,0.00037,-0.69478,-0.77240,1.32470,-0.69079,-0.95177,8,0x00000000,1,-0.68496,-0.72575,1.20313,-1.08696,-0.92876,8,0x00000000,1,-0.69404,-0.70637,1.00366,-0.00649,-0.54340,8,0x00000000,1,-0.63765,-0.51218,-0.22402,4.13421,4.06474,8,0x00000000,1,-0.61289,-0.48628,-0.31711,3.78554,3.78538,8,0x00000000,1,-0.71130,-0.77739,0.46807,-3.35580,-3.24954,8,0x00000000,1
0.0534,1.28726,-1.17316,-46.05785,1.28726,-1.17316,0.80854,-0.68230,0.92959,-0.67711,-0.71551,0.71758,-0.68750,0.68750,0.00000,0.00000,3,0.00040,-0.69613,-0.77240,1.32470,-0.69079,-0.95177,8,0x00000000,1,-0.68809,-0.72575,1.20313,-1.08696,-0.92876,8,0x00000000,1,-0.69668,-0.70637,1.00366,-0.00649,-0.54340,8,0x00000000,1,-0.63383,-0.51218,-0.22402,4.13421,4.06474,8,0x00000000,1,-0.60889,-0.48891,-0.23443,3.78554,3.78538,8,0x00000000,1,-0.71204,-0.77739,0.46807,-3.35580,-3.24954,8,0x00000000,1
0.0594,1.25617,-1.27376,-46.04516,1.25617,-1.27376,0.84673,-0.73276,0.94346,-0.71552,-0.76514,0.78951,-0.75000,0.75000,0.00000,0.00000,3,0.00045,-0.69747,-0.75841,1.37012,-0.58350,-0.62501,8,0x00000000,1,-0.69123,-0.71320,1.25238,1.61734,-0.48371,8,0x00000000,1,-0.69931,-0.70637,1.00366,-0.00649,-0.54340,8,0x00000000,1,-0.63001,-0.51218,-0.22402,4.13421,4.06474,8,0x00000000,1,-0.60489,-0.48891,-0.23443,4.10546,4.23996,8,0x00000000,1,-0.71278,-0.77255,0.45887,-3.41088,-3.34546,8,0x00000000,1
0.0643,1.18799,-1.45624,-46.03419,1.18799,-1.45624,0.87584,-0.79448,0.94214,-0.77646,-0.80954,0.87463,-0.80954,0.81250,0.00000,0.00000,2,0.00036,-0.69887,-0.74307,1.61304,0.26860,-0.47542,8,0x00000000,1,-0.69424,-0.70350,0.86150,1.04558,0.15248,8,0x00000000,1,-0.70181,-0.69850,0.68576,1.71032,0.10388,8,0x00000000,1,-0.62624,-0.51424,-0.18615,4.31974,4.30441,8,0x00000000,1,-0.60097,-0.49119,-0.23025,4.18475,4.18242,8,0x00000000,1,-0.71359,-0.77255,0.45887,-3.41088,-3.34546,8,0x00000000,1
0.0707,1.11459,-1.60246,-46.02851,1.11459,-1.60246,0.89621,-0.86341,0.94080,-0.85181,-0.85162,0.95165,-0.85162,0.87500,0.00000,0.00000,2,0.00037,-0.70062,-0.73748,1.59585,0.65272,-0.28050,8,0x00000000,1,-0.69643,-0.70095,0.79057,0.93755,0.22333,8,0x00000000,1,-0.70351,-0.69197,0.50469,1.55440,0.71798,8,0x00000000,1,-0.62282,-0.51590,-0.15794,4.31974,4.30441,8,0x00000000,1,-0.59749,-0.49208,-0.22126,4.18475,4.18242,8,0x00000000,1,-0.71486,-0.76639,0.69913,-2.76673,-2.58489,8,0x00000000,1
