t_s,roll,pitch,yaw,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual,mt_0,enc_0,vel_0,iq_sp_0,iq_0,state_0,aerr_0,fmode_0,mt_1,enc_1,vel_1,iq_sp_1,iq_1,state_1,aerr_1,fmode_1,mt_2,enc_2,vel_2,iq_sp_2,iq_2,state_2,aerr_2,fmode_2,mt_3,enc_3,vel_3,iq_sp_3,iq_3,state_3,aerr_3,fmode_3,mt_4,enc_4,vel_4,iq_sp_4,iq_4,state_4,aerr_4,fmode_4,mt_5,enc_5,vel_5,iq_sp_5,iq_5,state_5,aerr_5,fmode_5
0.0000,0.03229,-0.91093,-45.90533,0.03229,-0.91093,0.00275,-0.07771,0.00000,-0.06961,-0.00468,0.13212,-0.00468,0.06250,0.00000,0.00000,18,0.00134,-0.68384,-0.73038,0.00213,-0.03762,-0.02265,8,0x00000000,1,-0.65420,-0.75083,-0.00124,0.01450,0.12506,8,0x00000000,1,-0.66758,-0.73121,0.00344,0.02332,0.09998,8,0x00000000,1,-0.67327,-0.57166,0.00388,0.04406,0.09192,8,0x00000000,1,-0.65041,-0.53668,0.00478,0.02539,0.00611,8,0x00000000,1,-0.70622,-0.73049,0.00171,-0.05588,-0.03661,8,0x00000000,1
0.0043,0.03229,-0.91093,-45.90533,0.03229,-0.91093,0.00527,-0.14879,0.00000,-0.12794,-0.00897,0.18374,-0.00897,0.12500,0.00000,0.00000,18,0.00049,-0.68635,-0.73038,-0.00735,-0.03409,-0.04662,8,0x00000000,1,-0.65463,-0.75083,-0.00124,0.01450,0.12506,8,0x00000000,1,-0.66756,-0.73121,0.00176,0.01683,0.03155,8,0x00000000,1,-0.67058,-0.57166,0.00388,0.04406,0.09192,8,0x00000000,1,-0.64792,-0.53670,-0.00431,0.01942,0.16059,8,0x00000000,1,-0.70848,-0.73050,-0.00246,-0.07017,-0.17552,8,0x00000000,1
0.0097,0.03349,-0.90812,-45.90447,0.03349,-0.90812,0.00768,-0.21357,0.00000,-0.17557,-0.01306,0.23567,-0.01306,0.18750,0.00000,0.00000,18,0.00040,-0.68886,-0.73038,-0.00735,-0.03409,-0.04662,8,0x00000000,1,-0.65505,-0.75082,-0.00123,0.02316,0.00766,8,0x00000000,1,-0.66753,-0.73121,0.00176,0.01683,0.03155,8,0x00000000,1,-0.66789,-0.57167,0.00230,0.03403,0.08890,8,0x00000000,1,-0.64543,-0.53670,-0.00431,0.01942,0.16059,8,0x00000000,1,-0.71074,-0.73050,-0.00246,-0.07017,-0.17552,8,0x00000000,1
0.0149,0.03707,-0.90583,-45.91344,0.03707,-0.90583,0.01019,-0.27262,0.00000,-0.21346,-0.01732,0.28840,-0.01732,0.25000,0.00000,0.00000,18,0.00039,-0.69138,-0.73039,-0.00008,-0.01475,0.00458,8,0x00000000,1,-0.65549,-0.75082,-0.00123,0.02316,0.00766,8,0x00000000,1,-0.66751,-0.73121,0.00176,0.01683,0.03155,8,0x00000000,1,-0.66521,-0.57167,0.00230,0.03403,0.08890,8,0x00000000,1,-0.64294,-0.53669,0.00206,0.01113,0.01530,8,0x00000000,1,-0.71300,-0.73051,-0.00774,-0.06195,-0.09657,8,0x00000000,1
0.0202,0.03707,-0.90583,-45.91344,0.03707,-0.90583,0.01248,-0.32664,0.00000,-0.24279,-0.02122,0.34232,-0.02122,0.31250,0.00000,0.00000,18,0.00057,-0.69390,-0.73037,0.00509,-0.01475,0.00458,8,0x00000000,1,-0.65590,-0.75082,-0.00622,0.04405,-0.03842,8,0x00000000,1,-0.66747,-0.73120,0.00404,0.01939,-0.03340,8,0x00000000,1,-0.66253,-0.57167,0.00258,0.03773,0.03701,8,0x00000000,1,-0.64046,-0.53670,-0.00840,0.01113,0.01530,8,0x00000000,1,-0.71526,-0.73050,-0.00347,-0.06195,-0.09657,8,0x00000000,1
0.0249,0.03482,-0.90504,-45.90633,0.03482,-0.90504,0.01439,-0.37598,0.00000,-0.26417,-0.02446,0.39695,-0.02446,0.37500,0.00000,0.00000,18,0.00029,-0.69643,-0.73033,0.02287,-4.53611,-1.11428,8,0x00000000,1,-0.65629,-0.75082,-0.00622,0.04405,-0.03842,8,0x00000000,1,-0.66740,-0.73084,0.10384,-4.28499,-1.80852,8,0x00000000,1,-0.65986,-0.57236,-0.16596,4.14369,3.35479,8,0x00000000,1,-0.63799,-0.53670,-0.00840,4.56413,0.89550,8,0x00000000,1,-0.71755,-0.73046,0.01092,-2.39886,-0.44513,8,0x00000000,1
0.0302,0.03482,-0.90504,-45.90633,0.03482,-0.90504,0.01613,-0.42112,0.00000,-0.27840,-0.02742,0.45236,-0.02742,0.43750,0.00000,0.00000,18,0.00043,-0.69897,-0.73033,0.02287,-4.53611,-1.11428,8,0x00000000,1,-0.65666,-0.74984,0.27236,-3.78678,-3.14361,8,0x00000000,1,-0.66732,-0.73084,0.10384,-4.28499,-1.80852,8,0x00000000,1,-0.65721,-0.57236,-0.16596,4.14369,3.35479,8,0x00000000,1,-0.63554,-0.53914,-0.45326,4.56413,0.89550,8,0x00000000,1,-0.71984,-0.73046,0.01092,-2.39886,-0.44513,8,0x00000000,1
0.0358,0.03542,-0.90511,-45.90649,0.03542,-0.90511,0.01778,-0.46241,0.00000,-0.28609,-0.03022,0.50838,-0.03022,0.50000,0.00000,0.00000,18,0.00045,-0.70152,-0.72642,0.60997,-2.83023,-2.74099,8,0x00000000,1,-0.65703,-0.74984,0.27236,-3.78678,-3.14361,8,0x00000000,1,-0.66724,-0.72433,0.95216,-1.79815,-1.71158,8,0x00000000,1,-0.65455,-0.57236,-0.16596,4.14369,3.35479,8,0x00000000,1,-0.63308,-0.53914,-0.45326,3.30643,3.02718,8,0x00000000,1,-0.72213,-0.73014,0.05252,-2.31927,-1.70758,8,0x00000000,1
0.0407,0.03577,-0.90556,-45.90837,0.03577,-0.90556,0.01931,-0.50021,0.00000,-0.28786,-0.03283,0.56502,-0.03283,0.56250,0.00000,0.00000,18,0.00033,-0.70407,-0.71787,0.95631,1.00775,-0.63444,8,0x00000000,1,-0.65739,-0.74331,0.72948,-2.42829,-2.24458,8,0x00000000,1,-0.66714,-0.72433,0.95216,-1.79815,-1.71158,8,0x00000000,1,-0.65190,-0.57577,-0.33524,3.67934,3.79372,8,0x00000000,1,-0.63063,-0.54410,-0.46579,3.32441,3.13944,8,0x00000000,1,-0.72443,-0.73014,0.05252,-2.31927,-1.70758,8,0x00000000,1
0.0484,0.03845,-0.91120,-45.90378,0.03845,-0.91120,0.02094,-0.53527,0.00000,-0.28705,-0.03560,0.62291,-0.03560,0.62291,0.00000,0.00000,16,0.00221,-0.70653,-0.71787,0.95631,1.00775,-0.63444,8,0x00000000,1,-0.65774,-0.73332,1.11064,-2.42829,-2.24458,8,0x00000000,1,-0.66706,-0.71186,1.22838,-0.93146,-1.16869,8,0x00000000,1,-0.64934,-0.57795,-0.18464,4.21943,4.53841,8,0x00000000,1,-0.62826,-0.54410,-0.46579,3.32441,3.13944,8,0x00000000,1,-0.72665,-0.72843,0.21657,0.14078,-1.00522,8,0x00000000,1
