t_s,roll,pitch,yaw,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual,mt_0,enc_0,vel_0,iq_sp_0,iq_0,state_0,aerr_0,fmode_0,mt_1,enc_1,vel_1,iq_sp_1,iq_1,state_1,aerr_1,fmode_1,mt_2,enc_2,vel_2,iq_sp_2,iq_2,state_2,aerr_2,fmode_2,mt_3,enc_3,vel_3,iq_sp_3,iq_3,state_3,aerr_3,fmode_3,mt_4,enc_4,vel_4,iq_sp_4,iq_4,state_4,aerr_4,fmode_4,mt_5,enc_5,vel_5,iq_sp_5,iq_5,state_5,aerr_5,fmode_5
0.0000,1.11862,-0.35176,-46.18012,1.11862,-0.35176,0.09543,-0.03001,0.01384,0.00000,-0.07637,0.02401,-0.06250,0.02401,0.00000,0.00000,33,0.00147,-0.68108,-0.73473,-0.00483,-0.04861,-0.06484,8,0x00000000,1,-0.65671,-0.78382,0.00101,-0.02531,-0.07912,8,0x00000000,1,-0.67037,-0.78437,0.00435,0.00455,-0.16226,8,0x00000000,1,-0.67373,-0.50404,0.00277,-0.00514,0.08264,8,0x00000000,1,-0.65037,-0.47930,0.00590,0.02489,-0.14335,8,0x00000000,1,-0.70325,-0.76823,-0.00623,-0.02161,0.02723,8,0x00000000,1
0.0055,1.11635,-0.34980,-46.17954,1.11635,-0.34980,0.18252,-0.05729,0.02102,0.00000,-0.13239,0.04583,-0.12500,0.04583,0.00000,0.00000,1,0.00075,-0.68074,-0.73473,-0.00483,-0.04861,-0.06484,8,0x00000000,1,-0.65966,-0.78382,0.00101,-0.02531,-0.07912,8,0x00000000,1,-0.67316,-0.78437,0.00435,0.00455,-0.16226,8,0x00000000,1,-0.67159,-0.50404,0.00277,-0.00514,0.08264,8,0x00000000,1,-0.64792,-0.47930,0.00590,0.02489,-0.14335,8,0x00000000,1,-0.70244,-0.76823,-0.00623,-0.02161,0.02723,8,0x00000000,1
0.0104,1.11934,-0.34947,-46.18678,1.11934,-0.34947,0.26244,-0.08221,0.02245,0.00002,-0.18935,0.06579,-0.18750,0.06579,0.00000,0.00000,1,0.00049,-0.68032,-0.73473,-0.00483,-0.04861,-0.06484,8,0x00000000,1,-0.66261,-0.78383,-0.00511,-0.01717,0.08193,8,0x00000000,1,-0.67596,-0.78437,0.00516,0.00819,0.04254,8,0x00000000,1,-0.66953,-0.50404,-0.00043,-0.01772,0.02738,8,0x00000000,1,-0.64554,-0.47930,0.00590,0.02489,-0.14335,8,0x00000000,1,-0.70155,-0.76823,-0.00322,0.02277,-0.06186,8,0x00000000,1
0.0152,1.11934,-0.34947,-46.18678,1.11934,-0.34947,0.33554,-0.10501,0.02181,0.00006,-0.24663,0.08407,-0.24663,0.08407,0.00000,0.00000,0,0.00029,-0.67989,-0.73473,-0.00581,-0.04981,-0.07504,8,0x00000000,1,-0.66540,-0.78383,-0.00333,-0.04397,-0.04388,8,0x00000000,1,-0.67862,-0.78437,0.00665,0.01096,-0.02354,8,0x00000000,1,-0.66760,-0.50403,-0.00050,-0.00953,-0.10131,8,0x00000000,1,-0.64331,-0.47936,-0.01994,-0.02053,-0.04221,8,0x00000000,1,-0.70070,-0.76822,-0.00170,0.02941,0.04649,8,0x00000000,1
0.0203,1.11674,-0.35062,-46.18006,1.11674,-0.35062,0.40219,-0.12597,0.02100,0.00012,-0.30075,0.10089,-0.30075,0.10089,0.00000,0.00000,0,0.00030,-0.67951,-0.73472,-0.00051,-0.02788,-0.03403,8,0x00000000,1,-0.66796,-0.78383,-0.00333,-0.04397,-0.04388,8,0x00000000,1,-0.68104,-0.78437,0.00665,0.01096,-0.02354,8,0x00000000,1,-0.66583,-0.50403,-0.00050,-0.00953,-0.10131,8,0x00000000,1,-0.64126,-0.47933,0.00175,-0.00135,-0.01881,8,0x00000000,1,-0.69992,-0.76822,-0.00170,0.02941,0.04649,8,0x00000000,1
0.0252,1.11674,-0.35062,-46.18006,1.11674,-0.35062,0.46314,-0.14513,0.02008,0.00021,-0.35044,0.11632,-0.35044,0.11632,0.00000,0.00000,0,0.00025,-0.67915,-0.73472,-0.00051,-0.02788,-0.03403,8,0x00000000,1,-0.67031,-0.78383,-0.00192,-3.74516,-0.46277,8,0x00000000,1,-0.68327,-0.78435,0.01381,-4.51383,-0.73321,8,0x00000000,1,-0.66421,-0.50409,-0.02079,4.49231,1.28687,8,0x00000000,1,-0.63939,-0.47933,0.00175,-0.00135,-0.01881,8,0x00000000,1,-0.69920,-0.76820,0.00593,0.06369,-0.00574,8,0x00000000,1
0.0308,1.11774,-0.35004,-46.18700,1.11774,-0.35004,0.51899,-0.16261,0.01904,0.00033,-0.39615,0.13042,-0.39615,0.13042,0.00000,0.00000,0,0.00034,-0.67882,-0.73307,0.36536,-3.50861,-2.55476,8,0x00000000,1,-0.67246,-0.78383,-0.00192,-3.74516,-0.46277,8,0x00000000,1,-0.68532,-0.78435,0.01381,-4.51383,-0.73321,8,0x00000000,1,-0.66272,-0.50409,-0.02079,4.49231,1.28687,8,0x00000000,1,-0.63767,-0.47982,-0.13244,4.25069,2.88655,8,0x00000000,1,-0.69854,-0.76820,0.00593,0.06369,-0.00574,8,0x00000000,1
0.0357,1.11774,-0.35004,-46.18700,1.11774,-0.35004,0.57006,-0.17860,0.01790,0.00049,-0.43815,0.14337,-0.43815,0.14337,0.00000,0.00000,0,0.00026,-0.67852,-0.73217,0.49698,-3.50861,-2.55476,8,0x00000000,1,-0.67445,-0.78150,0.53386,-3.05749,-2.66397,8,0x00000000,1,-0.68721,-0.78086,0.59845,-2.84916,-2.26183,8,0x00000000,1,-0.66135,-0.50732,-0.46102,3.24754,3.17740,8,0x00000000,1,-0.63609,-0.47990,-0.03457,4.25069,2.88655,8,0x00000000,1,-0.69793,-0.76666,0.34679,-3.80354,-3.06063,8,0x00000000,1
0.0427,1.11848,-0.35019,-46.18880,1.11848,-0.35019,0.61685,-0.19324,0.01666,0.00067,-0.47682,0.15526,-0.47682,0.15526,0.00000,0.00000,0,0.00124,-0.67824,-0.73217,0.49698,-3.50861,-2.55476,8,0x00000000,1,-0.67627,-0.78150,0.53386,-3.05749,-2.66397,8,0x00000000,1,-0.68894,-0.78086,0.59845,-2.84916,-2.26183,8,0x00000000,1,-0.66009,-0.50732,-0.46102,3.24754,3.17740,8,0x00000000,1,-0.63463,-0.47990,-0.03457,4.25069,2.88655,8,0x00000000,1,-0.69737,-0.76666,0.34679,-3.80354,-3.06063,8,0x00000000,1
0.0467,1.11912,-0.35082,-46.18007,1.11912,-0.35082,0.65970,-0.20668,0.01534,0.00088,-0.51241,0.16623,-0.51241,0.16623,0.00000,0.00000,0,0.00029,-0.67798,-0.72516,0.91083,-1.92346,-2.00575,8,0x00000000,1,-0.67796,-0.77278,0.98691,-1.69871,-1.55666,8,0x00000000,1,-0.69054,-0.77161,1.02779,-1.56878,-1.66394,8,0x00000000,1,-0.65894,-0.51160,-0.35199,3.64698,3.74251,8,0x00000000,1,-0.63329,-0.48476,-0.69766,2.56183,2.77843,8,0x00000000,1,-0.69685,-0.75985,0.86214,-2.05863,-1.85465,8,0x00000000,1
