focus_pos,variance_of_laplacian,tenengrad,sum_modified_laplacian,normalized_variance,over_clip_frac,under_clip_frac,mean,p01,p50,p99,dynamic_range,sat_mean,sat_p50,val_mean
0,22.286231763004256,2451.667006659123,2.98827895024955,27.42436725285979,0.0,0.0,171.94364575346012,15.160235,209.89218749999998,234.11537500000003,218.95514000000003,47.44544613558392,14.916524365859447,182.0195915316358
5,22.489152464131877,2463.711819606253,3.006698977345014,27.418430766714803,0.0,0.0,171.98268430658027,15.437282500000002,209.93725,234.090875,218.6535925,47.46205721222121,15.396993682153797,182.04499873408565
10,22.542958753988046,2479.7981835745704,3.0061976562117754,27.439967178048253,0.0,0.0,172.02197480076916,15.624096250000001,210.01937499999997,234.14600000000002,218.52190375,47.47864804193324,15.1926048320917,182.1085250289352
15,22.72100348383996,2495.154894684188,3.0070143826148676,27.483680870428618,0.0,0.0,171.95898934220676,15.1415575,210.191625,234.07800000000003,218.9364425,47.570920198044206,15.001954862346558,182.03151071807486
20,22.93012209662045,2514.428955780417,3.025635732678478,27.514310124630207,0.0,0.0,171.88208315851654,15.41441375,210.062875,234.084125,218.66971124999998,47.61417089887212,15.104252556238045,181.95783450279708
25,23.23302021999059,2533.885106346608,3.037405794331362,27.560652586669256,0.0,0.0,171.81099700400267,15.105271250000001,210.0335,234.10725000000002,219.00197875,47.577203999261826,15.200183811536766,181.8678852599344
30,23.111176891147363,2546.425346800258,3.0366892660982554,27.588090698366464,0.0,1.5070408950617283e-06,171.7654527316623,15.338273749999999,210.270375,234.112625,218.77435125,47.573714364342685,15.071297564845818,181.82386760947145
35,23.034796516418908,2555.4870099856935,3.02699610388022,27.581161519361793,0.0,0.0,171.80124129382472,15.257874999999999,210.34281249999998,234.11537500000003,218.85750000000002,47.55170091935332,14.959961545231286,181.79248649691357
40,23.415016693823393,2571.422393039334,3.041948590485397,27.58110817072016,0.0,0.0,171.7989399851104,15.16927375,210.3300625,233.97875,218.80947625,47.69510292002864,15.075361247516348,181.8676441333912
45,23.582073712207347,2612.102726088369,3.0597212974629375,27.597299909171653,0.0,0.0,171.76498538019624,15.155465,210.59099999999998,234.076625,218.92116,47.52703266686289,15.043853842053803,181.8141140407986
