t_s,roll,pitch,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual
0.0000,0.49971,0.06024,0.49971,0.06024,0.49968,0.00807,-0.26629,1.66196,-1.01582,1.64984,-1.01582,1.64984,0.00000,0.00000,32,0.00026
0.1032,0.47282,0.15130,0.47282,0.15130,0.48022,0.11059,-0.29069,1.65843,-1.01103,1.49255,-1.01103,1.49255,0.00000,0.00000,0,0.00030
0.2052,0.46289,0.17740,0.46289,0.17740,0.46999,0.16174,-0.31443,1.65117,-1.01941,1.40856,-1.01941,1.40856,0.00000,0.00000,0,0.00035
0.3060,0.44078,0.20486,0.44078,0.20486,0.44947,0.19413,-0.33731,1.64205,-1.01151,1.35086,-1.01151,1.35086,0.00000,0.00000,0,0.00030
0.4072,0.41563,0.21915,0.41563,0.21915,0.42829,0.21264,-0.35916,1.63175,-1.00160,1.31279,-1.00160,1.31279,0.00000,0.00000,0,0.00028
0.5108,0.34149,0.26508,0.34149,0.26508,0.37754,0.24258,-0.37931,1.62039,-0.94561,1.25653,-0.94561,1.25653,0.00000,0.00000,0,0.00190
0.6115,0.20784,0.33809,0.20784,0.33809,0.24538,0.30757,-0.39398,1.60615,-0.76205,1.14480,-0.76205,1.14480,0.00000,0.00000,0,0.00042
0.7127,0.19430,0.33995,0.19430,0.33995,0.20833,0.32858,-0.40507,1.59001,-0.71756,1.09714,-0.71756,1.09714,0.00000,0.00000,0,0.00028
0.8135,0.18027,0.34435,0.18027,0.34435,0.18889,0.33889,-0.41483,1.57317,-0.69816,1.06484,-0.69816,1.06484,0.00000,0.00000,0,0.00025
0.9160,0.12051,0.33522,0.12051,0.33522,0.14828,0.33935,-0.42320,1.55613,-0.64563,1.04711,-0.64563,1.04711,0.00000,0.00000,0,0.00026
1.0168,0.06787,0.32421,0.06787,0.32421,0.08750,0.32912,-0.42870,1.53949,-0.55995,1.04581,-0.55995,1.04581,0.00000,0.00000,0,0.00028
1.1175,0.05093,0.32392,0.05093,0.32392,0.06289,0.32224,-0.43230,1.52334,-0.52663,1.03998,-0.52663,1.03998,0.00000,0.00000,0,0.00026
1.2190,0.02156,0.35235,0.02156,0.35235,0.03566,0.33890,-0.43468,1.50688,-0.48818,0.99853,-0.48818,0.99853,0.00000,0.00000,0,0.00093
1.3198,-0.01633,0.36975,-0.01633,0.36975,0.00196,0.36053,-0.43522,1.48925,-0.43816,0.94845,-0.43816,0.94845,0.00000,0.00000,16,0.00027
1.4205,-0.12382,0.45086,-0.12382,0.45086,-0.08175,0.41581,-0.43307,1.46985,-0.31045,0.84613,-0.31045,0.84613,0.00000,0.00000,0,0.00028
1.5222,-0.15715,0.34934,-0.15715,0.34934,-0.14254,0.37723,-0.42686,1.44977,-0.21305,0.88393,-0.21305,0.88393,0.00000,0.00000,0,0.00034
1.6252,-0.18300,0.33626,-0.18300,0.33626,-0.17442,0.34645,-0.41872,1.43201,-0.15709,0.91234,-0.15709,0.91234,0.00000,0.00000,0,0.00094
1.7260,-0.21000,0.31147,-0.21000,0.31147,-0.19591,0.32120,-0.40944,1.41548,-0.11558,0.93367,-0.11558,0.93367,0.00000,0.00000,0,0.00036
1.8265,-0.29047,0.24802,-0.29047,0.24802,-0.25366,0.27657,-0.39812,1.40063,-0.01763,0.98577,-0.01763,0.98577,0.00000,0.00000,0,0.00030
1.9293,-0.37730,0.08183,-0.37730,0.08183,-0.33784,0.15471,-0.38295,1.39017,0.12380,1.15810,0.12380,1.15810,0.00000,0.00000,0,0.00035
2.0320,-0.40493,-0.17848,-0.40493,-0.17848,-0.39163,-0.10928,-0.36420,1.39151,0.22324,1.55542,0.22324,1.55542,0.00000,0.00000,0,0.00032
2.1342,-0.40035,-0.20715,-0.40035,-0.20715,-0.40384,-0.18202,-0.34409,1.39947,0.26166,1.67250,0.26166,1.67250,0.00000,0.00000,0,0.00089
2.2339,-0.37281,-0.24115,-0.37281,-0.24115,-0.38582,-0.22312,-0.32437,1.40983,0.25436,1.74452,0.25436,1.74452,0.00000,0.00000,0,0.00025
2.3347,-0.32044,-0.28322,-0.32044,-0.28322,-0.34043,-0.26393,-0.30645,1.42222,0.20420,1.81811,0.20420,1.81811,0.00000,0.00000,0,0.00026
2.4371,-0.29727,-0.30243,-0.29727,-0.30243,-0.30849,-0.29226,-0.29046,1.43632,0.17227,1.87471,0.17227,1.87471,0.00000,0.00000,0,0.00209
2.5359,-0.27643,-0.32182,-0.27643,-0.32182,-0.28604,-0.31359,-0.27573,1.45160,0.15333,1.92198,0.15333,1.92198,0.00000,0.00000,0,0.00027
2.6369,-0.25831,-0.33437,-0.25831,-0.33437,-0.26682,-0.32782,-0.26201,1.46772,0.13823,1.95945,0.13823,1.95945,0.00000,0.00000,0,0.00031
2.7405,-0.24072,-0.34656,-0.24072,-0.34656,-0.25036,-0.34042,-0.24913,1.48447,0.12640,1.99511,0.12640,1.99511,0.00000,0.00000,0,0.00036
2.8415,-0.22550,-0.36022,-0.22550,-0.36022,-0.23213,-0.35403,-0.23720,1.50190,0.11100,2.03295,0.11100,2.03295,0.00000,0.00000,0,0.00034
2.9431,-0.20782,-0.37234,-0.20782,-0.37234,-0.21540,-0.36653,-0.22609,1.51998,0.09700,2.06977,0.09700,2.06977,0.00000,0.00000,0,0.00032
3.0458,-0.14286,-0.37027,-0.14286,-0.37027,-0.17133,-0.36684,-0.21640,1.53835,0.04059,2.08861,0.04059,2.08861,0.00000,0.00000,0,0.00070
3.1468,-0.12457,-0.37250,-0.12457,-0.37250,-0.13613,-0.36860,-0.20903,1.55673,-0.00484,2.10964,-0.00484,2.10964,0.00000,0.00000,0,0.00031
3.2504,-0.10679,-0.37869,-0.10679,-0.37869,-0.11516,-0.37428,-0.20292,1.57532,-0.03018,2.13674,-0.03018,2.13674,0.00000,0.00000,0,0.00206
3.3495,-0.07905,-0.39506,-0.07905,-0.39506,-0.09161,-0.38763,-0.19784,1.59442,-0.06043,2.17585,-0.06043,2.17585,0.00000,0.00000,0,0.00028
3.4507,-0.04051,-0.40795,-0.04051,-0.40795,-0.05768,-0.40237,-0.19425,1.61427,-0.10774,2.21783,-0.10774,2.21783,0.00000,0.00000,0,0.00026
3.5528,-0.00573,-0.42014,-0.00573,-0.42014,-0.02207,-0.41410,-0.19244,1.63474,-0.15933,2.25589,-0.15933,2.25589,0.00000,0.00000,0,0.00031
3.6532,0.03067,-0.43549,0.03067,-0.43549,0.01329,-0.42881,-0.19244,1.65587,-0.21238,2.29908,-0.21238,2.29908,0.00000,0.00000,16,0.00027
