t_s,roll,pitch,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual,mt_0,enc_0,vel_0,iq_sp_0,iq_0,mt_1,enc_1,vel_1,iq_sp_1,iq_1,mt_2,enc_2,vel_2,iq_sp_2,iq_2,mt_3,enc_3,vel_3,iq_sp_3,iq_3,mt_4,enc_4,vel_4,iq_sp_4,iq_4,mt_5,enc_5,vel_5,iq_sp_5,iq_5
0.0000,-2.52942,-3.55004,-2.52942,-3.55004,-2.53144,-3.54727,2.46856,1.45273,5.01432,5.02247,5.00000,5.00000,0.00000,0.00000,12,0.00286,-0.49140,-0.48677,-0.00015,1.73231,1.77895,-0.00343,-0.00605,0.00503,1.45166,1.39942,0.06070,0.04343,0.00067,-0.56170,-0.56295,-0.32238,-0.32277,0.00247,-0.21234,-0.28458,-0.17190,-0.17338,-0.00316,5.06369,5.09657,-0.52906,0.24195,-0.00880,5.95666,6.03573
0.1046,-2.53081,-3.55473,-2.53081,-3.55473,-2.53033,-3.55322,2.46967,1.44678,5.01539,5.02197,5.00000,5.00000,0.00000,0.00000,12,0.00027,-0.49140,-0.48707,0.00685,1.77081,1.60928,-0.00343,-0.00607,-0.00029,1.42317,1.33588,0.06070,0.04404,0.00441,-0.73216,-0.71713,-0.32238,-0.32278,-0.01266,-0.20903,-0.35069,-0.17190,-0.17337,0.00240,5.06740,5.19584,-0.52906,0.24197,-0.00209,5.96942,5.99350
0.2064,-2.53090,-3.56248,-2.53090,-3.56248,-2.53041,-3.55978,2.46959,1.44022,5.01539,5.02252,5.00000,5.00000,0.00000,0.00000,12,0.00028,-0.49140,-0.48724,-0.00225,1.82197,1.85397,-0.00343,-0.00606,-0.00044,1.36384,1.37577,0.06070,0.04473,0.01311,-0.88408,-0.83960,-0.32238,-0.32277,-0.00314,-0.20542,-0.13629,-0.17190,-0.17337,-0.00204,5.03255,4.90344,-0.52906,0.24198,0.00990,5.97672,5.93612
0.3087,-2.53084,-3.56721,-2.53084,-3.56721,-2.53086,-3.56490,2.46914,1.43510,5.01518,5.02238,5.00000,5.00000,0.00000,0.00000,12,0.00034,-0.49140,-0.48741,0.00684,1.82539,1.86020,-0.00343,-0.00606,0.00107,1.34041,1.35079,0.06070,0.04564,0.00654,-0.99662,-0.95096,-0.32238,-0.32275,0.00454,-0.20989,-0.12520,-0.17190,-0.17338,-0.00570,4.99811,5.07811,-0.52906,0.24197,0.00196,5.97807,6.04097
0.4123,-2.52881,-3.58236,-2.52881,-3.58236,-2.52945,-3.57542,2.47055,1.42458,5.01490,5.02443,5.00000,5.00000,0.00000,0.00000,12,0.00077,-0.49140,-0.48767,-0.00166,1.86184,1.94757,-0.00343,-0.00606,-0.00437,1.31898,1.21800,0.06070,0.04724,0.01117,-1.05610,-1.14209,-0.32238,-0.32276,-0.00005,-0.23465,-0.38531,-0.17190,-0.17335,0.00550,5.03321,5.17966,-0.52906,0.24198,0.01067,5.99400,6.00200
0.5133,-2.53057,-3.59135,-2.53057,-3.59135,-2.53075,-3.58604,2.46925,1.41396,5.01511,5.02380,5.00000,5.00000,0.00000,0.00000,12,0.00031,-0.49140,-0.48785,-0.00527,1.88028,1.99432,-0.00343,-0.00606,-0.00916,1.27373,1.28784,0.06070,0.04893,0.01439,-1.09514,-1.04412,-0.32238,-0.32275,0.00548,-0.21813,-0.12173,-0.17190,-0.17336,0.00337,5.00425,4.99020,-0.52906,0.24196,-0.00570,5.96346,6.03805
0.6138,-2.52971,-3.59781,-2.52971,-3.59781,-2.52973,-3.59380,2.47027,1.40620,5.01517,5.02328,5.00000,5.00000,0.00000,0.00000,12,0.00039,-0.49140,-0.48802,0.00065,1.93715,1.95556,-0.00343,-0.00603,0.00498,1.26898,1.27924,0.06070,0.05028,0.00839,-1.15274,-1.15688,-0.32238,-0.32276,-0.00317,-0.22163,-0.33010,-0.17190,-0.17338,-0.01118,4.92710,5.10989,-0.52906,0.24196,-0.00252,5.99013,5.89823
0.7144,-2.52393,-3.60781,-2.52393,-3.60781,-2.52490,-3.60286,2.47510,1.39714,5.01473,5.02374,5.00000,5.00000,0.00000,0.00000,12,0.00027,-0.49140,-0.48823,-0.00266,1.96974,1.92406,-0.00343,-0.00603,-0.00179,1.24855,1.20505,0.06070,0.05145,0.00751,-1.22110,-1.23410,-0.32238,-0.32274,0.00716,-0.21431,-0.13258,-0.17190,-0.17338,-0.00804,4.94982,4.99510,-0.52906,0.24196,-0.00248,5.99400,6.04450
0.8176,-2.51840,-3.61402,-2.51840,-3.61402,-2.52148,-3.61051,2.47852,1.38949,5.01381,5.02317,5.00000,5.00000,0.00000,0.00000,12,0.00187,-0.49140,-0.48840,0.00696,2.00040,2.06539,-0.00343,-0.00601,0.00657,1.22526,1.28185,0.06070,0.05274,0.01558,-1.20576,-1.15787,-0.32238,-0.32277,-0.01043,-0.25911,-0.19480,-0.17190,-0.17338,-0.00944,4.92788,4.95549,-0.52906,0.24198,0.01025,5.99135,6.01671
0.9178,-2.51583,-3.63378,-2.51583,-3.63378,-2.51709,-3.62403,2.48291,1.37597,5.01456,5.02592,5.00000,5.00000,0.00000,0.00000,12,0.00038,-0.49140,-0.48865,-0.00498,2.01103,2.05015,-0.00343,-0.00601,0.00936,1.16631,1.18679,0.06070,0.05689,0.12595,-0.66722,-0.82059,-0.32238,-0.32275,0.00046,-0.24929,-0.24025,-0.17190,-0.17336,0.00006,4.91860,4.77481,-0.52906,0.24197,0.00529,5.96817,5.86127
1.0193,-2.53682,-3.78374,-2.53682,-3.78374,-2.52751,-3.74272,2.47249,1.25728,5.01916,5.04004,5.00000,5.00000,0.00000,0.00000,12,0.00027,-0.49140,-0.48892,-0.00883,2.00412,2.11714,-0.00343,-0.00597,0.00578,1.14881,1.19077,0.06070,0.07534,0.00112,0.28991,0.33325,-0.32238,-0.32275,-0.00512,-0.24041,-0.23768,-0.17190,-0.17333,0.01467,4.93273,4.86543,-0.52906,0.24196,0.00203,5.98358,5.95336
1.1210,-2.53833,-3.76958,-2.53833,-3.76958,-2.52914,-3.77647,2.47086,1.22353,5.01911,5.01971,5.00000,5.00000,0.00000,0.00000,12,0.00030,-0.49140,-0.48943,-0.00289,2.03222,2.08283,-0.00343,-0.00598,0.00205,1.09765,1.05843,0.06070,0.07528,-0.00061,0.46259,0.56162,-0.32238,-0.32274,0.00297,-0.24543,-0.34201,-0.17190,-0.17339,-0.01402,4.82804,4.87181,-0.52906,0.24194,-0.01214,5.94091,5.91021
1.2231,-2.52769,-3.79007,-2.52769,-3.79007,-2.52575,-3.79116,2.47425,1.20884,5.01599,5.02228,5.00000,5.00000,0.00000,0.00000,12,0.00105,-0.49140,-0.48963,-0.00335,1.99621,2.01782,-0.00343,-0.00599,-0.00588,1.06785,1.01388,0.06070,0.07520,-0.00105,0.62147,0.68546,-0.32238,-0.32276,-0.00634,-0.28792,-0.15726,-0.17190,-0.17336,-0.00046,4.86402,4.86680,-0.52906,0.24196,-0.00206,5.99400,6.02836
1.3238,-2.52205,-3.79733,-2.52205,-3.79733,-2.52575,-3.79341,2.47425,1.20659,5.01357,5.02444,5.00000,5.00000,0.00000,0.00000,12,0.00046,-0.49140,-0.48982,0.00381,2.05675,1.93929,-0.00343,-0.00598,-0.00734,1.00570,0.87341,0.06070,0.07512,0.00065,0.81436,0.80933,-0.32238,-0.32274,0.00016,-0.26525,-0.19325,-0.17190,-0.17336,-0.00393,4.87007,4.95809,-0.52906,0.24196,0.00696,5.99400,5.99502
1.4240,-2.53026,-3.79502,-2.53026,-3.79502,-2.52884,-3.79494,2.47116,1.20506,5.01578,5.02281,5.00000,5.00000,0.00000,0.00000,12,0.00028,-0.49140,-0.48997,0.00698,2.05884,2.04409,-0.00343,-0.00598,-0.00916,1.00475,1.05033,0.06070,0.07504,0.00244,0.98271,0.86879,-0.32238,-0.32273,0.00243,-0.25519,-0.21525,-0.17190,-0.17336,-0.00009,4.83326,4.85592,-0.52906,0.24197,0.00497,5.96398,6.12251
1.5260,-2.52535,-3.79513,-2.52535,-3.79513,-2.52842,-3.79583,2.47158,1.20417,5.01385,5.02248,5.00000,5.00000,0.00000,0.00000,12,0.00100,-0.49140,-0.49012,0.00028,2.05982,2.07909,-0.00343,-0.00595,-0.00282,0.97721,1.04791,0.06070,0.07494,0.00230,1.15590,1.10573,-0.32238,-0.32274,-0.00126,-0.27424,-0.13973,-0.17190,-0.17336,-0.00542,4.79469,4.76868,-0.52906,0.24194,-0.00805,5.97326,5.93623
1.6301,-2.52624,-3.79659,-2.52624,-3.79659,-2.52671,-3.79621,2.47329,1.20379,5.01496,5.02294,5.00000,5.00000,0.00000,0.00000,12,0.00145,-0.49140,-0.49022,-0.00703,2.06174,2.05063,-0.00343,-0.00593,0.00188,0.93924,0.92356,0.06070,0.07481,-0.00819,1.28158,1.26383,-0.32238,-0.32273,0.00201,-0.26440,-0.29258,-0.17190,-0.17333,0.00527,4.79475,4.65876,-0.52906,0.24196,0.00026,5.96132,5.98921
1.7292,-2.52072,-3.79838,-2.52072,-3.79838,-2.52243,-3.79784,2.47757,1.20216,5.01440,5.02302,5.00000,5.00000,0.00000,0.00000,12,0.00030,-0.49140,-0.49030,-0.00426,2.06761,1.95788,-0.00343,-0.00592,0.00728,0.93266,0.86584,0.06070,0.07467,-0.00095,1.47427,1.50173,-0.32238,-0.32274,-0.00337,-0.29192,-0.30449,-0.17190,-0.17335,-0.00261,4.77860,4.79582,-0.52906,0.24195,-0.00253,5.97770,6.01937
1.8305,-2.51428,-3.79575,-2.51428,-3.79575,-2.51760,-3.79697,2.48240,1.20303,5.01368,5.02226,5.00000,5.00000,0.00000,0.00000,12,0.00097,-0.49140,-0.49036,0.00933,2.08155,2.05615,-0.00343,-0.00592,-0.00472,0.90052,0.89907,0.06070,0.07459,0.00863,1.64044,1.69690,-0.32238,-0.32272,0.00405,-0.26171,-0.23291,-0.17190,-0.17333,0.00183,4.75018,4.72025,-0.52906,0.24197,0.00841,5.98162,5.95099
1.9316,-2.51811,-3.79841,-2.51811,-3.79841,-2.51693,-3.79745,2.48307,1.20255,5.01561,5.02319,5.00000,5.00000,0.00000,0.00000,12,0.00032,-0.49140,-0.49045,0.00482,2.09433,1.97990,-0.00343,-0.00587,0.00340,0.85630,0.83891,0.06070,0.07444,-0.00105,1.79753,1.77339,-0.32238,-0.32271,0.00893,-0.27639,-0.22827,-0.17190,-0.17331,0.01124,4.77376,4.86986,-0.52906,0.24195,-0.00049,5.95196,5.81149
2.0319,-2.52053,-3.80108,-2.52053,-3.80108,-2.51862,-3.79994,2.48138,1.20006,5.01593,5.02329,5.00000,5.00000,0.00000,0.00000,12,0.00031,-0.49140,-0.49054,0.00314,2.07814,2.10057,-0.00343,-0.00581,0.00197,0.82863,0.79085,0.06070,0.07431,0.00244,1.96111,2.10508,-0.32238,-0.32275,-0.00991,-0.32766,-0.27475,-0.17190,-0.17333,0.00482,4.72744,4.67310,-0.52906,0.24194,-0.00358,5.96861,5.94537
2.1324,-2.52305,-3.80331,-2.52305,-3.80331,-2.52281,-3.80197,2.47719,1.19803,5.01524,5.02338,5.00000,5.00000,0.00000,0.00000,12,0.00036,-0.49140,-0.49064,-0.00259,2.10778,2.08478,-0.00343,-0.00579,-0.00220,0.79490,0.69701,0.06070,0.07417,0.00496,2.11691,2.15981,-0.32238,-0.32272,0.00197,-0.27675,-0.24536,-0.17190,-0.17331,0.00996,4.73576,4.83205,-0.52906,0.24196,0.00220,5.99400,5.98727
2.2341,-2.52648,-3.80592,-2.52648,-3.80592,-2.52421,-3.80460,2.47579,1.19540,5.01612,5.02339,5.00000,5.00000,0.00000,0.00000,12,0.00114,-0.49140,-0.49071,0.00088,2.08632,2.21809,-0.00343,-0.00573,0.00517,0.79753,0.74584,0.06070,0.07402,-0.00302,2.29307,2.30523,-0.32238,-0.32270,0.00686,-0.28998,-0.42217,-0.17190,-0.17333,0.00074,4.67979,4.73773,-0.52906,0.24195,-0.00053,5.98577,5.91471
2.3340,-2.52417,-3.80920,-2.52417,-3.80920,-2.52413,-3.80749,2.47587,1.19251,5.01516,5.02358,5.00000,5.00000,0.00000,0.00000,12,0.00025,-0.49140,-0.49078,-0.00299,2.10602,2.17173,-0.00343,-0.00569,-0.00744,0.72108,0.73160,0.06070,0.07387,0.00199,2.40941,2.46464,-0.32238,-0.32272,-0.00379,-0.30715,-0.22191,-0.17190,-0.17333,0.00144,4.66291,4.59897,-0.52906,0.24195,0.00465,5.97034,5.85961
2.4353,-2.52475,-3.80957,-2.52475,-3.80957,-2.52448,-3.80889,2.47552,1.19111,5.01526,5.02314,5.00000,5.00000,0.00000,0.00000,12,0.00027,-0.49140,-0.49084,0.00301,2.12703,2.12775,-0.00343,-0.00562,0.00269,0.73605,0.64014,0.06070,0.07371,-0.00282,2.55339,2.53171,-0.32238,-0.32271,0.00088,-0.29106,-0.22450,-0.17190,-0.17333,0.00043,4.67372,4.54797,-0.52906,0.24192,-0.01048,5.92801,6.02373
2.5371,-2.52257,-3.80952,-2.52257,-3.80952,-2.52230,-3.80915,2.47770,1.19085,5.01525,5.02301,5.00000,5.00000,0.00000,0.00000,12,0.00034,-0.49140,-0.49088,-0.00008,2.09916,2.15726,-0.00343,-0.00556,0.00585,0.71910,0.56282,0.06070,0.07350,-0.00005,2.72535,2.67932,-0.32238,-0.32270,0.00294,-0.31285,-0.33838,-0.17190,-0.17334,-0.00209,4.64507,4.70211,-0.52906,0.24195,0.01008,5.97721,5.94504
2.6389,-2.52108,-3.81222,-2.52108,-3.81222,-2.52144,-3.81158,2.47856,1.18842,5.01497,5.02315,5.00000,5.00000,0.00000,0.00000,12,0.00029,-0.49140,-0.49091,0.00623,2.13769,2.20170,-0.00343,-0.00554,-0.00234,0.68093,0.69054,0.06070,0.07327,-0.00344,2.84096,2.93924,-0.32238,-0.32270,0.00109,-0.29195,-0.21103,-0.17190,-0.17332,0.00123,4.61766,4.66001,-0.52906,0.24194,0.00457,5.98371,5.95880
2.7419,-2.52218,-3.81084,-2.52218,-3.81084,-2.52181,-3.81116,2.47819,1.18884,5.01529,5.02273,5.00000,5.00000,0.00000,0.00000,12,0.00025,-0.49140,-0.49100,0.00134,2.10933,2.24339,-0.00343,-0.00547,0.00308,0.65091,0.74719,0.06070,0.07302,-0.00217,2.97594,3.03230,-0.32238,-0.32271,-0.00244,-0.34218,-0.31949,-0.17190,-0.17332,0.00488,4.61229,4.49921,-0.52906,0.24193,0.00072,5.98698,5.88225
2.8426,-2.52405,-3.81369,-2.52405,-3.81369,-2.52280,-3.81292,2.47720,1.18708,5.01567,5.02321,5.00000,5.00000,0.00000,0.00000,12,0.00024,-0.49140,-0.49106,-0.00578,2.11898,2.10054,-0.00343,-0.00541,0.00232,0.65991,0.70947,0.06070,0.07267,-0.00805,3.09449,3.02498,-0.32238,-0.32270,0.00119,-0.33257,-0.32862,-0.17190,-0.17332,-0.00275,4.60100,5.03218,-0.52906,0.24194,0.00850,5.98980,5.86618
